"job_title","company","location","job_summary"
"Financial Consultant - Local Candidates Only","WestPac Wealth Partners","San Diego, CA","REQUIREMENTSAbility to draw upon past/present experiences and acquaintances to develop markets and build upon them to sustain long-term relationships.Results-driven, highly motivated, self-starter who possesses integrity, a strong work ethic and the desire to help others plan for and protect their financial and investment futures.Passion for winning and desire an opportunity for high income potential.Team player who possesses excellent interpersonal skills and communication abilities, with a high degree of self-confidence.Must be a US Citizen or permanent residentA four-year college degreeOVERVIEWWestPac Wealth Partners is seeking a driven individual looking to work in the finance industry with unlimited growth potential.We are a growing network of Financial Consultants who connect consumers and businesses in their communities with financial services and products to help protect the futures they build for themselves and their families.Our vision, resources, fundamental belief in training and the importance of experienced finance professional relationships help our clients understand that we strive to be the leading choice for people who seek an experienced Financial Consultant.We are long-term financial services firm who emphasize guidance, technology and performance to deliver customized finance and investment planning strategies to consumers.We stress teamwork and have a passion for winning.BENEFITSYou cant attract quality people with a second-best compensation package. As a WestPac Wealth Partners Financial Consultant, youll be part of a recognized, respected company that offers:High earning potential with generous & extensive performance based compensation modelsExcellent comprehensive benefits packageTraining, support and hands-on managementAdvancement/management opportunitiesOur work environment is fast-paced, energetic and enthusiastic. If you have an entrepreneurial mindset and are not looking for just a job, then this can be the place for you.JOB DESCRIPTIONAnalyze financial and investment information obtained from clients to determine strategies, products and services to help clients meet their financial and investment objectivesProvide financial planning information/education to clients about the purpose and details of financial products, services and strategiesBuild and maintain client base, keep client financial and investment plans up-to-date and acquire new clients on an ongoing basisProvide knowledgeable, objective finance & financial planning guidance and customized financial strategies to consumer segments that demand high quality services.OUR TRAINING PROGRAM - SUPPORT TO HELP YOU SUCCEEDThe amount of support we provide for our Financial Consultants is unparalleled in the finance and financial planning industry.We believe in the people that we hire and will work with them constantly to put them on the path to building a personally, professionally and monetarily rewarding career in the finance and financial planning industry.As a WestPac Wealth Partners, Financial Consultant, youll have the operational flexibility while being backed by the vast resources and marketing experience of our financial services organization.You dont need to have a finance or economics degree to be a successful Financial Consultant.Financial Consultants participate in national and local development programs and joint work opportunities that provide comprehensive knowledge, planning and skill training.We very much encourage and support the pursuit of professional designations that are recognized and respected by clients and others in the industry including Certified Financial Planner (CFP), Chartered Financial Consultant and Chartered Life Underwriter.WestPac Wealth Partners  Company OverviewAt WestPac Wealth Partners we consider extensive, lifelong training to be one of our key competitive advantages. Were committed to acquiring and leveraging every bit of intelligence available to grow the company. At the San Diego location, we develop teaming and mentoring opportunities so new Financial Consultants have the advantage of learning from those who have already built successful practices in the finance & financial planning industry.Please visit the website below ...www.TheWP2.comwww.TheLivingBalanceSheet.comSeek a greater challenge and be life confident.Derek M. McDougall | Principal Director | WestPac Wealth Partners: 4275 Executive Square, Suite 1100 | La Jolla, CA 92037Registered Principle and Financial Advisor of Park Avenue Securities, LLC (PAS). OSJ: 750 B Street #2740 San Diego, CA 92101 619.684.6400. Securities products/services and advisory services are offered through PAS, a registered broker/dealer and investment advisor, member FINRA/SIPC 888.600.4667. Financial Representative, The Guardian Life Insurance Company of America (Guardian), New York, NY. PAS is an indirect, wholly owned subsidiary of Guardian. WestPac Wealth Partners, LLC is not an affiliate or subsidiary of PAS or Guardian. Insurance products offered through WestPac Wealth Partners and Insurance Services, a DBA of WestPac Wealth Partners, LLC. | CA Insurance License #0E94275PAS is a member of FINRA, SIPC. The Living Balance Sheet (LBS) and the LBS Logo are registered service marks of The Guardian Life Insurance Company of America (Guardian), New York, NY.  Copyright 2005-2016 The Guardian Life Insurance Company of America. 2016-23203 (exp. 05/18)Job Type: Full-timeJob Location:San Diego, CARequired education:Bachelor's"
"Event Rental Consultant","One Stop Event Rental","Portland, ME","One Stop Event Rentals is a family owned business and one of Maines leading event, wedding and rental companies. With over 35 years of experience, we take pride in building a reputation for excellence and superior customer service.We are excited to announce an immediate opening for an Event Rental Consultant . This unique role requires an outgoing, problem solving personality and excellent customer service and sales skills.Duties and Responsibilities :Assist customers with event planning and rental agreements.Provide creative ideas to customers to meet their ideas and needs.Provide top notch customer service, both in person and over the telephone.Handle showroom appointments and manage walk-in customers simultaneously.Filing, data entry, and organizing of rental documents and customer information.Process rental and purchase transactions and assist throughout the agreement.Must be able to familiarize and learn all rental inventory.Participate in new inventory purchasing decisions each season.Maintain a neat, clean showroom and personal appearance.Assist co-workers with any other duties needed.Qualifications: Event and/or wedding planning experience preferredMinimum of three (3) years of sales experience preferredPositive attitude towards customers, co-workers, and strong team player.Strong computer and telephone skills.Must be self-motivated with a strong problem solving ability.Strong attention to detail and organizational skills.Ability to multitask and prioritize in a fast-paced environment.Must be reliable and able to work Saturdays regularly.Competitive salary and benefits package offered. Please send your cover letter, resume and salary requirements for consideration .NO PHONE CALLS OR RECRUITERS PLEASEOne Stop Event Rentals is an equal opportunity employer.Job Type: Full-timeRequired experience:sales: 3 years"
"Performance Improvement Consultant Revenue Cycle","Cumberland Consulting Group","Denver, CO","Responsible for leading delivery and focuses primarily on delivery and oversight in the business of project-based management consulting.Perform tasks related to the execution of a client engagement without day-to-day supervision and able to demonstrate higher levels of operating autonomy; know appropriate times to seek assistance and review of work productsParticipate in assessment, implementation and optimization projectsCerner Patient Accounting experience a plusActively participate in professional organizations and demonstrate the capabilities of the Firm to potential clientsDevelop and track a basic project work planEnergetic, revenue cycle consultant with 5-7 years provider and consulting experience.BA required, MBA preferred, PMP a plusStrong analytic and team consulting experience.Excellent excel, powerpoint, word and Microsoft Project skillsTravel requiredStrong oral and written communication skillsJob Type: Full-timeRequired education:Bachelor'sRequired experience:Revenue Cycle Consutling: 5 years"
"Business Development - Energy Efficiency","Aether Energy","Edison, NJ","Aether Energy, LLC is a nationwide distributor and installer of LED Lighting & Controls, Solar PV and Integrated Energy Efficient Systems for the commercial marketplace. We are currently seeking outside Business Development representatives with an existing base of contacts and referrals to generate leads for large scale energy efficiency projects. Our target market is apartment & office buildings, warehouse & industrial, big box retail, shopping malls and other large commercial property types.Ideal candidates will be seasoned at marketing to property owners and managers. Examples of ideal candidates would include commercial real estate brokers, property managers, architects & designers, energy consultants and other professionals that serve commercial property owners. Once opportunities are generated, Aether's in-house technical team will conduct surveys, generate detailed proposals, install equipment and commission the projects. Typical LED Lighting retrofits generate returns of 30%+ to the customers, so the close ratio is approximately 50% on qualified leads. This is a commission based position. Training will be provided and commission rates will be based on the level of involvement by the Consultant, which is flexible.If you are interested in joining our team and becoming part of the energy efficiency industry that is revolutionizing the commercial marketplace, please forward your CV and Resume.Sincerely,Team AetherJob Type: ContractSalary: $75,000.00 /yearRequired experience:Commercial Real Estate Related: 5 years"
"Sales Position (120K++ Earning Potential)","Strategic Financial Solutions","New York, NY 10018","Sales Associate (120K Earning Potential)Company Overview: Strategic Financial Solutions (SFS), one of the largest debt relief companies in the United States, has earned a number of notable awards over the last year. Most recently, SFS garnered the 419th spot on the prestigious Inc. 5000 list of the fastest growing companies in the United States. Prior to that recognition, SFS was certified as a Great Place to Work, an especially important honor as it was voted on by employees. In addition, SFS was named to the Crains New York Business Fast 50 list as well as being recognized as one of the Best Companies to Work for In New York State.SFS is located in the heart of midtown Manhattan and was founded in 2007 by Ryan Sasson, Daniel Blumkin, and Ian Behar. Over the past three years, SFS revenue has grown over 900% and its team has expanded to over 400 employees. Since it was founded, SFS has helped over 40,000 clients resolve more than $400 million in debt.More information can be found at http://stratfs.comWe are a rapidly growing financial services company seeking experienced and charismatic Sales Consultants to join our expanding team of professionals. The ideal candidate will have an extensive background in sales, particularly in phone sales and consultation. We offer a relaxed, friendly and family oriented atmosphere that allows highly motivated people to excel and earn over $300K. There is no cold calling with this position, all of our sales opportunities come to us through a generous advertising and marketing budget. If you are an experienced sales professional looking for an opportunity to finally be rewarded for your hard work and effort, this is the right position for you!Requirements for Sales Associate: Dynamic sales rep with at least 5 years successful sales experience, preferably in short term sales.Strong communication skills with the ability to think and react on the fly.Independent self-starter with an internal motivation to meet and exceed their professional goals.Polished and professional demeanorExperience in phone sales a plusKnowledge of Microsoft office a must!Benefits for Sales Associate include: Base of $55KHealth, Vision, Life, Dental, Discounted Gym Membership, and 401KJob Type: Full-timeRequired experience:Sales: 5 years"
"Business Development & Marketing - Part-Time ($35,000/yr)","Executive Leaders Radio","Vienna, VA","Are you tired of trying to ""fit a square peg in a round hole"" and now turning to the help wanted ads looking for the right fit? Looking for flexibility? You got it. Interested in working mostly from home, without trying to sell products to your friends and family? Done. Do you have previous career success behind you and are now looking for a new ""home"" where you can establish a new career on a part-time basis? Then please read on. . .We are looking for motivated and articulate individuals to join our tight knit team. This is a great opportunity for someone who left their previous career to raise children and is looking to test the waters again. We are looking for someone with strong interpersonal skills and that building relationships comes naturally. Do you enjoy networking, meeting new people and would like to help organize our #1 Business Radio Show, Green Room and Emerging Video Business?Who Are We?Executive Leaders Radio (ELR) is the #1 business radio show in the Mid-Atlantic States broadcast weekly, both nationally and locally on over 100 terrestrial and internet radio stations. ELR is broadcast from the most credible institutions including the Chambers of Commerce and Universities. Our listeners want to learn from our Executive Leaders, and our Executive Leaders tell us that it is an honor to be recognized and chosen to share their secrets of success! www.ExecutiveLeadersRadio.comELR also provides the marketing support for our newest launch, Executive Leaders Video. www.ExecutiveLeadersVideo.comWhat will you be doing?We need your help identifying qualified guests and supporting sponsors as well as maintaining relationships with them. You'll be able to work a flexible schedule from home, as well as periodically attend networking events.You will be reviewing publications, networking and helping to maintain relationships with our Sponsors - attorneys, accountants, wealth managers, commercial realtors, commercial insurance brokers, employee benefits agents, banks, investment bankers, staffing firms and consultants. You will also be assisting Executive Leaders Radio Sponsors with creating and maintaining their overall Marketing Strategy. You will do this by cultivating meaningful business relationships with the business leaders encountered as well as booking CEOs on our shows.No limits on your growth. For example, Rachel Blumenthal started working from home 10 years ago, took control and became our President. Heather Quinn started working from home 8 years ago and is our Senior Associate Producer! We have many more opportunities for you to take the lead.Compensation: $20 an hour plus bonuses. Expected annual income for first year $35,000+ on a Part Time basis. Start with as few as 10-15 hours per week, growing into 30 hours.We are excited about the opportunity to grow our team. Are you looking to work a flexible schedule mostly from home? If you have 5+ years of experience with a previous employer with increasing levels of responsibility and enjoy networking and building relationships, please forward your resume and cover letter today!Job Type: Part-timeSalary: $35,000.00 /year"
"Sales Representative/Design Consultant","3 Day Blinds","Chicago, IL","*Guaranteed Income as you build toward a Lucrative Sales Career!*I am Scott Mendez, SVP Sales for 3 Day Blinds, and I am looking for talented Sales Professionals to join our winning team!Our Design Consultant position is a fast paced, high energy job that is challenging and rewarding for those who want to make the most of our lucrative, uncapped compensation plan by building the relationships and value with our clients that lead to YES!Why were the best!From inspiration to installation we do it all! For the last 40 years weve been the industry leader in premium window fashions. We set the standard for designing, manufacturing, delivering, and installing custom window treatments fast in a notoriously slow industry.Earn while you learn!We are so confident in the earning potential of our Design Consultants, and so committed to their success, that we help pave the way during your ramp up period with:The safety net of a generous bi-weekly guaranteeA spiff for each sale you close , in addition to any earned commissionEligibility to earn double bonus without meeting some of the criteria our experienced Design Consultants must meet in order to increase their bonus level4 weeks of world class paid training , and all of the state of the art tools necessary for your success  ( think:  _ company provided laptop/tablet, smartphone, product samples + mileage reimbursement, full benefits and an abundance of quality leads )_Support during your initial weeks of selling with a member of our field support teamClient Services team members standing by to help you 6 days a weekDont worry if youve never sold window fashions before, as we have many successful Design Consultants on our team from closet design, window sales, kitchen remodeling, fashion, furniture sales, flooring sales, textiles, bathroom design, alarm systems, real estate and home staging. And those with degrees in design and related fields or independent design company entrepreneurs who love assisting clients, but not running a small business, have found success with us too!See what its like to be a 3 Day Blinds Design Consultant. Click here to learn more about our Winning Team! http://www.3dayblinds.com/careersOur District Sales Manager is interviewing candidates _now_ who have the following preferred skills, characteristics and experience:* Two or more years of proven success in outside sales, direct sales or in-home sales roles* The ability to develop rapport, build relationships and create the exceptional value that consistently closes sales on the first call* The ability to recognize and relate to client needs in a creative and solution oriented manner* Ability to utilize multiple technology platforms such as Outlook, Word, our point of sale system, online resource* High energy, passionate and enthusiastic* Results Driven and competitive* Determined and committed* Organized with strong time management skills* Resourceful and resilient*Successful Design Consultants come from a variety of backgrounds, including: ** Closet design, window sales, kitchen remodeling, fashion, furniture sales, flooring sales, textiles, bathroom design, alarm systems, real estate, home staging* Graduates with degrees in design or related fields* Independent design company entrepreneurs who love assisting clients, but not running a small business* Cut and paste to Chat with a Recruiter: Live Chat Recruiter https://livechat.boldchat.com/aid/6644573348532039217/bc.chat?cwdid=3448208182461619899&wdid=926955655317924655Job Type: Full-timeRequired experience:Sales: 2 yearsRequired license or certification:Driver's License"
"In-Home Sales Representative","Renewal By Andersen NJ/NY Metro","Cranford, NJ","Renewal by Andersen, the window replacement and installation experts, are seeking talented sales consultants to represent the Andersen brand of quality and service; build trust and rapport with our customers quickly; and have a drive and motivation for top results. We look for talented individuals who value a company focused on the customer. We are seeking to expand out team in the Cranford, NJ branch and continue our success through the upcoming year!Lead Generation Unlike other sales opportunities, Renewal by Andersen utilizes traditional and non-traditional marketing to provide out sales representatives with leads. This means NO COLD CALLING or prospecting for our sales representatives. The leads we provide are pre-qualified and pre-confirmed before you visit our customers homes.Compensation & Benefits Pay for performance is a salespersons greatest compensation motivator! Our compensation plans rewards solid performance with a strong commission rate and the opportunity for performance bonuses. At plan you will earn $150,000.000. Median income for our in-home consultants is $180,000.00 to $250,000.000 and out top reps make over $400,000.00. In addition, we offer a full complement of employee benefits including health, dental, vision, life, 401k, and more!Learning, Development & Culture We offer three weeks of paid training to ensure you are successful in this role. The first three weeks are spent in the classroom and in the field. Our Sales Training Managers and Sales Managers coach new reps on the extensive products we offer along with a proven sales methodology. The ongoing coaching and training will build the skills and confidence you want in order to get the results you strive for!Renewals culture is vastly different from other companies. We promote our employees happiness in all areas of their lives. We know that happiness and positivity drive business results and we are dedicated to making sure your wellness comes first. We encourage collaboration amongst the sales team, growth within the role, and innovation as an organization.*To see a day in the life of one of Renewal's sales consultant check out our videohttps://www.youtube.com/watch?v=ZP0yFOv_SX8Desired Skills and Experience5+ years of success being a top producer in an outside sales environment, plus ,2+ yrs. of Home improvement sales, in-home sales experience, or experience being a top performer employing a one call close is required. Our typical salesperson has 15-30+ yrs. of experience, and folks from all sorts of industries and of all ages have found this to be the best sales job theyve ever had.A proven track record of closing sales.A strong focus on exceeding customer expectations.Schedule availability to run homeowner appointments on many evenings and weekends.Strong written and verbal communication skills.Self-motivation and results orientation.Time and work process management skills with the ability to work independently.College degree or an equivalent combination of education and experience.Valid drivers license with a clean driving recordPlease apply with your resume in MS Word format. Thanks for your interest but only fully qualified candidates will be contacted.Job Type: Full-timeRequired education:AssociateRequired experience:One Call Close: 2 yearsIn-Home or Home Improvements Sales: 2 yearsSales: 5 yearsWe have set up application questions for your job.Job Type: Full-timeRequired education:AssociateRequired experience:Sales: 5 yearsone call close sales: 2 yearsin-home sales: 1 year"
"Quality Management Consultant","Core Business Solutions","Washington, DC","Looking for a change? Are you a current Quality Manager or Quality Engineer? Core Business Solutions is a Lewisburg, PA-based consulting business that helps companies throughout the USA achieve ISO 9001 and AS9100/9120. We are seeking experienced individuals throughout the US to join our growing team as a Quality Management Consultant. This position supports consulting services around ISO 9001 and AS9100/9120 (and related standards). The successful candidate must have thorough knowledge of ISO 9001 and demonstrate experience in project management, technical writing, project implementation, and training. There are growth opportunities available as our company continues to grow and expand. This position will require some amount of travel.REQUIREMENTS INCLUDE:2-4-year degree or equivalent experience.Minimum 5 years experience in quality management and experience implementing ISO 9001 or similar standards.Must have thorough knowledge of ISO 9001.Demonstrated project management skills with multiple on-going projects, training, technical writing experience, and excellent communication skills.Generous base salary plus commissions. Employer paid health insurance.About Core Business Solutions: Core Business Solutions was founded in 2000. We have established ourselves as a market leader in small business consulting services to assist companies nationally in achieving ISO 9001 and AS9100/9120 certification as well as other similar standards. We provide a web-based document control solution as well as consulting services which have been designed to support companies anywhere they are located. Through our online and onsite consulting programs, we assist over 250 small businesses every year to achieve these certifications. Please visit our website at www.thecoresolution.com.No phone calls please.Job Type: Full-time"
"Outside Sales Representative","VECTORNATE US","Jersey City, NJ","VECTORNATE USA Inc. , is a global dynamic company specializing in the creation, marketing and distribution of innovative products. Our product line focuses on the selling top of the line in Water Filtration, Pest Control, and Small Appliance Parts.We are currently seeking a highly motivated and experienced Outside Sales Consultants to join our company. This position will involve visiting and promoting to potential distributors and trade shows.Company is preparing to expand into Jersey City, NJ for the growth of sales and to increase distribution capability. We're looking for a talented individual to help us to establish and settle in NJ locationWe are looking for someone who will travel around the area, in the efforts to enhance sales, efficiently and professionally represent our company and name.Job Responsibilities: Experience in selling water filtration, appliance parts, pest control equipment is preferred, but not mandatory.New business development and account managementSelf-motivated and independent (you will be in the field up to 60% of your time)Prospecting and contacting distributors and retailers in the US and South/Central AmericaComfortable with making outgoing calls (cold calling)Be able to reach sales targetsSelf MotivatedCompetitive salary; commensurate with experience annual salary of 35.000 + generous commissionGive information on product demand for your clients to admin team.Job Requirements: Bachelor's degree in business or related areaMin. 1 year working experience in Business to Business Sales (B2B)Have proven sales recordExceptional communication skillsIT savvy, good at MS office suite, such as word, excel, and etc.Experience in using ERP is preferredAttention to details but also results-oriented, energetic, fast-paced, and reliableHighly focused on customer service and a high level of client satisfactionHighly organized and ability to multi-taskWork well both independently and as a part of teamPerform additional duties as assignedTRAVEL MAY BE NECESSARYMust be well organized and detail oriented.Additional language skill is a plus.BenefitsWe offer Health Benefits after probation period.ComissionIf your Enthusiastic, Self-Motivated, Determined, and ready for a great career opportunity then you will be great on our team!Job Type: Full-timeSalary: $25,000.00 to $35,000.00 /yearRequired education:Bachelor'sRequired experience:CRM: 5 yearsCold Calling: 5 yearsSales Operations: 5 yearsSales: 5 yearsRequired languages:EnglishSpanish"
