department,code,title,description,credit,advised_requisite,pre_requisite
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 211,Circuits and Systems for Biomedical Engineering.,"Students learn circuits and linear systems concepts necessary for analysis and design of biomedical systems. Theory is motivated by examples from biomedical engineering. Topics covered include electrical circuit fundamentals, operational amplifiers, frequency response, electrical transients, impulse response, transfer functions and convolution, all motivated by circuit and biomedical examples. Elements of continuous time domain-frequency domain analytical techniques are developed.",4,NA," MATH 214 or MATH 216, and Physics 240."
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 221,Biophysical Chemistry and Thermodynamics,This course covers the physio-chemical concepts and processes relevant to life. The emphasis lies on the molecular level. Topics: Biomimetics; Energy and Driving Forces; Biochemical Equilibria; Aqueous Solutions; Molecular Self-Assembly; Bio-Electrochemistry; Biopolymers; Molecular Recognition and Binding Equilibria in Biology.<strong>BIOMEDE 231. Introduction to Biomechanics,4,NA, CHEM 210 and MATH 116. Recommend MCDB 310 or Biol Chem 415 or CHEM 351 be taken concurrently.
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 221,Biophysical Chemistry and Thermodynamics,This course covers the physio-chemical concepts and processes relevant to life. The emphasis lies on the molecular level. Topics: Biomimetics; Energy and Driving Forces; Biochemical Equilibria; Aqueous Solutions; Molecular Self-Assembly; Bio-Electrochemistry; Biopolymers; Molecular Recognition and Binding Equilibria in Biology.<strong>BIOMEDE 231. Introduction to Biomechanics,4,NA, CHEM 210 and MATH 116. Recommend MCDB 310 or Biol Chem 415 or CHEM 351 be taken concurrently.
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 241,Biomedical Undergraduate Laboratory,"This course provides an introduction to experimentation in circuits, systems, physical chemistry, thermodynamics, and mechanics with emphasis on biological applications.  Lectures and laboratories on lab safety, measurement and analysis of physiological systems; operational amplifiers; rate of reaction; heat of reaction; whole body, tissue, and cellular mechanics; probability and statistical analysis.",4,NA," BIOMEDE 211, 221, and 231."
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 280,Undergraduate Research,"This course offers research experience to first- and second-year Engineering students in an area of mutual interest to the student and to a faculty member within the College of Engineering. For each hour of credit, it is expected that the student will work a minimum of three hours per week. The grade for the course will be based on a final project/report evaluated by the faculty sponsor and participation in other required UROP activities, including bimonthly research group meetings and submission of a journal chronicling the research experience.",1,NA, Permission of instructor.
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 295,Biomedical Engineering Seminar,Current research will be presented by faculty in the BME department.  The goal is to help students decide if they want to pursue a B.S. in BME or choose a different undergraduate major department as part of the SGUS program leading to an M.S. in BME.,1,NA, none.
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 311,Biomedical Signals and Systems,"Theory and practice of signals and systems in both continuous and discrete time domains with examples from biomedical signal processing and control. Continuous-time linear systems convolution, steady-state responses, Fourier and Laplace transforms, transfer functions, poles and zeros, stability, sampling, feedback. Discrete-time linear systems: Z transform, filters, Fourier transform, signal processing.",4,NA," BIOMEDE 211, EECS 215, or EECS 314."
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 321,Bioreaction Engineering and Design,"This course introduces topics in enzyme kinetics, enzyme inhibition, biochemical pathway engineering, mass and energy balance, cell growth and differentiation, cell engineering, bioreactor design, and analysis of the human body, organs, tissues, and cells as bioreactors.  The application of bioreaction/bioreactor principles to tissue engineering is also discussed.",3,NA," BIOMEDE 221, MCDB 310 or Biol Chem 415 or CHEM 351"
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 331,Introduction to Biofluid Mechanics,"This course introduces the fundamentals of biofluid dynamics and continuum mechanics, and covers the application of these principles to variety of biological flows.  Fluid flow in physiology and biotechnology is investigated at a variety of scales, ranging from subcellular to whole body.<strong>BIOMEDE 332. Introduction to Biosolid Mechanics",4,NA," preceded by BIOMEDE 231 and MATH 215, 216 with a min. grade of ""C""."
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 331,Introduction to Biofluid Mechanics,"This course introduces the fundamentals of biofluid dynamics and continuum mechanics, and covers the application of these principles to variety of biological flows.  Fluid flow in physiology and biotechnology is investigated at a variety of scales, ranging from subcellular to whole body.<strong>BIOMEDE 332. Introduction to Biosolid Mechanics",4,NA," preceded by BIOMEDE 231 and MATH 215, 216 with a min. grade of ""C""."
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 350,Introduction to Biomedical Engineering Design,"This course uses problem-based learning to introduce students to biomedical engineering design concepts, tools and methodologies. Students will work in small groups and use virtual design and computational tools to propose and validate feasible solutions to real-world biomedical engineering problems with industrial and/or clinical relevance.",3,NA," advised BIOMEDE 211, 221, 231; co-requisite BIOMEDE 241."
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 410 (MATSCIE 410),Design and Applications of Biomaterials,"Biomaterials and their physiological interactions. Materials used in medicine/dentistry: metals, ceramics, polymers, composites, resorbable, smart, natural materials. Material response/degradation: mechanical breakdown, corrosion, dissolution, leaching, chemical degradation, wear. Host responses: foreign body reactions, inflammation, wound healing, carcinogenicity, immunogenicity, cytotoxicity, infection, local/systemic effects.",3,NA, MATSCIE 220 or 250 or permission of instructor.
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 417 (EECS 417),Electrical Biophysics,"Electrical biophysics of nerve and muscle; electrical conduction in excitable tissue; quantitative models for nerve and muscle including the Hodgkin Huxley equations; biopotential mapping, cardiac electrophysiology and functional electrical stimulation; group projects. Lecture and recitation.",4,NA," BIOMEDE 211, or EECS 215 or EECS 314."
Biomedical Engineering Courses | Michigan Engineering,BIOMEDE 418,Quantitative Cell Biology,"This course introduces the fundamentals of cell structure and functioning. The goal is to provide a general background in cell biology, with emphasis placed on physical aspects that are of particular interest to engineers.",3,NA," MCDB 310, BIOLCHEM 415, 515, or CHEM 351, and Physics 240, Math 216."
