department,code,title,description,credit,advised_requisite,pre_requisite
Climate and Space Sciences and Engineering Courses | Michigan Engineering,SPACE 101 (ASTRO 183),Rocket Science,<i> (3 credits),3,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 102 (EARTH 122) (ENVIRON 102),Extreme Weather,"This course provides an introduction to the physics of extreme weather events. The course uses examples of the thunderstorms, jet stream, floods, lake-effect snow storms, lightning, thunder, hail, hurricanes and tornadoes to illustrate the physical laws governing the atmosphere. Participants apply these principles in hands-on storm forecasting and weather analysis assignments.<strong>SPACE 103.  Intro Space Weather",3,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 102 (EARTH 122) (ENVIRON 102),Extreme Weather,"This course provides an introduction to the physics of extreme weather events. The course uses examples of the thunderstorms, jet stream, floods, lake-effect snow storms, lightning, thunder, hail, hurricanes and tornadoes to illustrate the physical laws governing the atmosphere. Participants apply these principles in hands-on storm forecasting and weather analysis assignments.<strong>SPACE 103.  Intro Space Weather",3,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 105 (Chemistry 105) (ENSCEN 105) (ENVIRON 105),Our Changing Atmosphere,"The science of the greenhouse effect, stratospheric ozone depletion, polar ozone holes and urban smog. These phenomena and their possible consequences are discussed, along with the properties and behavior of the atmosphere and its interactions with other components of the environment.",3,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 110 (SPACE 110),Climate and Space Science and Engineering Seminar," Seminars by noted speakers, faculty and research scientists, designed to acquaint undergraduates with contemporary science and engineering problems, technologies and broader issues in the global climate and space sciences. Technical communication assignments include written and/or oral reports based upon the seminars.",1,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 171 (Biology 110) (Univ Course 110),,"The course will consider the evolution of the universe, the Earth and its environments and the evolution of living organisms. Consideration will be given to fundamental processes by which organisms grow and reproduce, how they interact with their environments and the distribution of major groups of organisms on earth.",4,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 171 (Biology 110) (Univ Course 110),,"The course will consider the evolution of the universe, the Earth and its environments and the evolution of living organisms. Consideration will be given to fundamental processes by which organisms grow and reproduce, how they interact with their environments and the distribution of major groups of organisms on earth.",4,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 172 (Univ Course 111) (EARTH 172) (SNRE 172) (Sociology 111),Introduction to Global,"An introduction to the evolution of life and the human species on earth, with focus on problems of global change produced by recent human advances in technology and institutions.",4,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 172 (Univ Course 111) (EARTH 172) (SNRE 172) (Sociology 111),Introduction to Global,"An introduction to the evolution of life and the human species on earth, with focus on problems of global change produced by recent human advances in technology and institutions.",4,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,SPACE 204 (ASTRO 204) (EARTH 204),The Planets: Their Geology and Climates,"Structure, composition and evolutionary history of the surfaces and atmospheres of the planets and their satellites, with special emphasis given to comparative aspects of geology and climatology. Intended for non-science majors with a background in high school math and science.",3,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,AOSS 205,Mathematics of Rocket Science,"This class delves into the mathematics and computer programming involved in launching a satellite into orbit, changing orbits, and planetary and lunar missions.",1,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,AOSS 205,Mathematics of Rocket Science,"This class delves into the mathematics and computer programming involved in launching a satellite into orbit, changing orbits, and planetary and lunar missions.",1,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 280 (SPACE 280),Undergraduate Research Experience,Individual or group research experience in atmospheric and space sciences. The Individual or group research experience in atmospheric and space sciences. The program of work is arranged at the beginning of the semester by mutual agreement between the student and a faculty member. Written and/or oral reports will be required.,1,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 300 (SPACE 300),Global Environmental Impact of Technological Change,This course provides a scientific exploration of the unexpected global environmental side effects of technological innovation. Case studies are presented and discussed illustrating how technological advances can sometimes produce unexpected and undesirable environmental results. Lessons learned from previous environmental crises including new tools for assessing risk are discussed and applied.,3,NA,"CHEM 130, MATH 116."
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 320,(SPACE 320) (EARTH 320) Earth System Evolution,"Introduction to the physics and chemistry of Earth and space. Gravitational energy, radiative energy, Earth's energy budget and Earth tectonics are discussed along with chemical evolution and biogeochemical cycles. The connections among the carbon cycle, silicate weathering and the natural greenhouse effect are discussed.",3,NA,"MATH 115, MATH 116. Minimum grade of ""C"" for advised prerequisites."
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 321 (SPACE 321) (EARTH 321),Earth and Space Systems Dynamics,This course will describe the major wind systems and ocean currents that are important to climate studies. The primary equations will be developed and simple solutions derived that will explain many of these motions. The relations among the dynamics and other parameters in the climate system will be illustrated by examples from both paleo and present day systems.,3,NA,CLIMATE/SPACE 320. Preceded or accompanied by MATH 215 and MATH 216.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 323 (SPACE 323) (EARTH 323),Earth System Analysis,"Introduction to the analysis of Earth and Atmospheric Science Systems. Topics include linear systems, harmonic analysis, sampling theory and statistical error analysis. Lectures emphasize underlying mathematical concepts. Labs emphasize application of mathematical methods to analysis of field data in a computer programming environment. Applications include turbulent air motion in the planetary boundary layer, cloud and precipitation microphysical composition, oceanic wave propagation, stratospheric ozone depletion and satellite remote sensing.",4,NA,none.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIIMATE 350 (SPACE 350) (EARTH 350),Atmospheric Thermodynamics, (3 credits),3,NA,"MATH 216 or equivalent. Minimum grade of ""C"" required for enforced prerequisite. (3 credits)"
Climate and Space Sciences and Engineering Courses | Michigan Engineering,SPACE 370 (EARTH 370),Solar Terrestrial Relations,"Introduction to solar terrestrial relations with an overview of solar radiation and its variability on all time-scales. The effects of this variability on the near-Earth space environment and upper atmosphere are considered, as well as effects on the lower and middle atmosphere with connections to weather and climate. Subjects are approached through extensive data analysis, including weekly computer lab sessions.",4,NA,"MATH 216, Physics 240."
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 380 (SPACE 380) (EARTH 381),Introduction to Atmospheric Radiation,"Basic concepts and processes of radiative transfer including radiometric quantities, electromagnetic spectrum, absorption, emission and scattering. The physics laws governing these processes including the Planck Law and the Kirchhoff Law. Radiative properties of atmospheric constituents. Reflection and refraction. Introductory-level descriptions of relevant applications in atmospheric sciences and climate physics.  <strong>CLIMATE 381 (SPACE 381). Undergraduate Research Experience II",1,NA,"MATH 216 or equivalent. Minimum grade of ""C"" required for enforced prerequisite."
