department,code,title,description,credit,advised_requisite,pre_requisite
Electrical Engineering and Computer Science Courses | Michigan Engineering,EECS 101,Thriving in a Digital World,"From mobile apps to bitmaps, this course explores computational technologies and how they impact society and our everyday lives. Topics include: social networks, creative computing, algorithms, security and digital privacy. Traditional computer programming is not a primary focus. Instead, mobile applications will be created using a novel visual programming environment.",4,NA,none.
Electrical Engineering and Computer Science Courses | Michigan Engineering,EECS 183,Elementary Programming Concepts,"Fundamental concepts and skills of programming in a high-level language. Flow of control: selection, iteration, subprograms. Data structures: strings, arrays, records, lists, tables. Algorithms using selection and iteration (decision making, finding maxima/minima, searching, sorting, simulation, etc.) Good program design, structure and style are emphasized. Testing and debugging. Not intended for Engineering students (who should take ENGR 101), nor for CS majors in LSA who qualify to enter EECS 280.",4,NA,none.
Electrical Engineering and Computer Science Courses | Michigan Engineering,EECS 203 (CS 203),Discrete Mathematics,(4 credits),4,NA,
Electrical Engineering and Computer Science Courses | Michigan Engineering,EECS 215,Introduction to Electronic Circuits,<i> 240 (or 260). Cannot receive credit for both EECS 314 and EECS 215. (4 credits),4,NA,"MATH 116, ENGR 101, Corequisite PHYSICS"
Electrical Engineering and Computer Science Courses | Michigan Engineering,EECS 216,Introduction to Signals and Systems,"Theory and practice of signals and systems engineering in continuous and discrete time. Continuous-time linear time-invariant systems, impulse response, convolution. Fourier series, Fourier transforms, spectrum, frequency response and filtering. Sampling leading to basic digital signal processing using the discrete-time Fourier and the discrete Fourier transform. Laplace transforms, transfer functions, poles and zeros, stability. Applications of Laplace transform theory to RLC circuit analysis. Introduction to communications, control and signal processing. Weekly recitations and hardware/Matlab software laboratories.",4,NA,"EECS 215 or EECS 314 or BIOMEDE 211, preceded or accompanied by MATH 216."
Electrical Engineering and Computer Science Courses | Michigan Engineering,EECS 230,Electromagnetics I,"Vector calculus. Electrostatics. Magnetostatics. Time-varying fields: Faraday's Law and displacement current. Maxwell's equations in differential form. Traveling waves and phasors. Uniform plane waves. Reflection and transmission at normal incidence. Transmission lines. Laboratory segment may include experiments with transmission lines, the use of computer-simulation exercises, and classroom demonstrations.",4,NA,"MATH 215, PHYS 240"
Electrical Engineering and Computer Science Courses | Michigan Engineering,EECS 250 (NAVARCH 202),Electronic Sensing Systems,"Introduction to properties and behavior of electromagnetic energy as it pertains to naval applications of communication, radar, and electro-optics.  Additional topics include sound navigation and ranging (SONAR), tracking and guidance systems, and computer-controlled systems.",3,NA,preceded or accompanied by EECS 230 or PHYSICS 240.
Electrical Engineering and Computer Science Courses | Michigan Engineering,EECS 270,Introduction to Logic Design,"Binary and non-binary systems, Boolean algebra, digital design techniques, logic gates, logic minimization, standard combinational circuits, sequential circuits, flip-flops, synthesis of synchronous sequential circuits, PLAs, ROMs, RAMs, arithmetic circuits, computer-aided design. Laboratory includes design and CAD experiments.",4,NA,EECS 183 or ENGR 101 or equivalent.
Electrical Engineering and Computer Science Courses | Michigan Engineering,EECS 280,Programming and Introductory Data Structures,"Techniques and algorithm development and effective programming, top-down analysis, structured programming, testing and program correctness. Program language syntax and static and runtime semantics. Scope, procedure instantiation, recursion, abstract data types and parameter passing methods. Structured data types, pointers, linked data structures, stacks, queues, arrays, records and trees.",4,NA,"ENGR 101 or ENGR 151 or EECS 182 or EECS 183. Minimum grade of ""C"" required for enforced prerequisites."
Electrical Engineering and Computer Science Courses | Michigan Engineering,EECS 281,Data Structures and Algorithms,"Introduction to algorithm analysis and O-notation; Fundamental data structures including lists, stacks, queues, priority queues, hash tables, binary trees, search trees, balanced trees and graphs; searching and sorting algorithms; recursive algorithms; basic graph algorithms; introduction to greedy algorithms and divide and conquer strategy. Several programming assignments.",4,NA,"EECS 203 or Math 465 or Math 565 and EECS 280. Minimum grade of ""C"" required for enforced prerequisites."
