department,code,title,description,credit,advised_requisite,pre_requisite
Entrepreneurship Courses | Michigan Engineering,ENTR 390,Special Topics in Entrepreneurship,<strong>,1,NA,(1-15 credits)
Entrepreneurship Courses | Michigan Engineering,ENTR 407,Entrepreneurship Hour,"This weekly seminar series invites disruptive, influential and respected entrepreneurs, venture capitalists and business leaders to speak to students about their personal experiences founding, financing and managing a startup venture. Following the lecture, students will be able to meet the guest speaker and network with members of the entrepreneurial community.",1,NA,(1 credit)
Entrepreneurship Courses | Michigan Engineering,ENTR 408,Patent Law,"Inventors and entrepreneurs have four concerns related to patent law: protecting inventions during product development, determining invention patentability, avoiding infringement and leveraging a patent as a business asset. This course addresses these concerns through the application of case law and business cases to an invention of the student's choice.",1,NA,(1 credit)
Entrepreneurship Courses | Michigan Engineering,ENTR 409,Venture Business Development,"Successful entrepreneurship and early stage venture capital appear to require a mixture of four very different traits and abilities:  innovation/vision, evaluation, operation/management, and dedication. This course dives deep into these four pillars of success for the next generation of entrepreneurs and venture capitalists.",1,NA,(1 credit)
Entrepreneurship Courses | Michigan Engineering,ENTR 410,Finding Your Venture,"This course provides a framework for identifying clear, impactful opportunities.  Every student will leave with a viable business opportunity to pursue in addition to a set of valuable and repeatable skills that will be an asset in any entrepreneurial setting.",2,NA,(2 credits)
Entrepreneurship Courses | Michigan Engineering,ENTR 411,Entrepreneurship Practicum,"The Practicum immerses students in the entrepreneurial process in a supportive classroom environment. Students critically evaluate and then pursue the development of their own ideas for new ventures. Throughout the course, students work closely with entrepreneurship faculty and mentors.",3,NA,By application and permission of instructor
Entrepreneurship Courses | Michigan Engineering,ENTR 412,Advanced Entrepreneurship Practicum,"The Advanced Entrepreneurship Practicum is the second part of the entrepreneurship practicum experience led by the Center for Entrepreneurship.  In this course, you will experience running, growing, and leading a sustainable venture by applying fundamental and practical skills of entrepreneurship.",3,NA,(3 credits)
Entrepreneurship Courses | Michigan Engineering,ENTR 413,Advanced Entrepreneurship Practicum,"This course presents a pragmatic approach to marketing for new ventures.  The course examines general marketing terms and principles, including the nature, dynamics, and strategies of marketing decision for new ventures. Students will apply these concepts to situations and problems relating to real ventures.",2,NA,(2 credits)
Entrepreneurship Courses | Michigan Engineering,ENTR 417,Entrepreneurship Hour Discussion Session,"In this faculty led discussion section for the Entrepreneurship Hour seminar series, students learn about, discuss and debate the key characteristics of entrepreneurship. Students also form small, multidisciplinary groups where they reflect on entrepreneurship and how it applies to their life goals.",1,NA,Concurrent enrollment in ENTR 407 Entrepreneurship Hour.
Entrepreneurship Courses | Michigan Engineering,ENTR 490,Special Topics in Entrepreneurship,Special topics of interest selected by entrepreneurial faculty.,1,NA,(1-15 credits)
Entrepreneurship Courses | Michigan Engineering,ENTR 500,An Introduction to Innovation: Tools for Career Success,"Students will learn a wide range of concepts and skills to successfully navigate innovation-focused careers in small, medium, and large businesses and institutions.  Students will study intellectual property, market and industry analysis, product-market fit, equity and stock options, program and project management, communication, securing investment and government funding, and more.",2,NA,Senior or Graduate Standing
Entrepreneurship Courses | Michigan Engineering,ENTR 500,An Introduction to Innovation: Tools for Career Success,"Students will learn a wide range of concepts and skills to successfully navigate innovation-focused careers in small, medium, and large businesses and institutions.  Students will study intellectual property, market and industry analysis, product-market fit, equity and stock options, program and project management, communication, securing investment and government funding, and more.",2,NA,Senior or Graduate Standing
Entrepreneurship Courses | Michigan Engineering,ENTR 500,An Introduction to Innovation: Tools for Career Success,"Students will learn a wide range of concepts and skills to successfully navigate innovation-focused careers in small, medium, and large businesses and institutions.  Students will study intellectual property, market and industry analysis, product-market fit, equity and stock options, program and project management, communication, securing investment and government funding, and more.",2,NA,Senior or Graduate Standing
Entrepreneurship Courses | Michigan Engineering,ENTR 500,An Introduction to Innovation: Tools for Career Success,"Students will learn a wide range of concepts and skills to successfully navigate innovation-focused careers in small, medium, and large businesses and institutions.  Students will study intellectual property, market and industry analysis, product-market fit, equity and stock options, program and project management, communication, securing investment and government funding, and more.",2,NA,Senior or Graduate Standing
Entrepreneurship Courses | Michigan Engineering,ENTR 510,"Compensation, Funding, and Ownership","Ownership in any size business is a continuum that ranges from 100% investor owned to 100% employee owned.  Students will thoroughly deconstruct this continuum from all perspectives (as employees, founders, and investors) and learn by role playing how the myriad o models affects compensation and a company and society's culture.",3,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 510,"Compensation, Funding, and Ownership","Ownership in any size business is a continuum that ranges from 100% investor owned to 100% employee owned.  Students will thoroughly deconstruct this continuum from all perspectives (as employees, founders, and investors) and learn by role playing how the myriad o models affects compensation and a company and society's culture.",3,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 520,Technology-Inspired Business Models,"This course provides the framework that helps innovators understand the difference between innovative Value Creation and Innovative Value Capture.  Built around a series of analytical tools, this course uses lectures, guest speakers, classroom discussions, group activities and personal research to explore the applications and interactions of these tools.",3,NA,"ENTR 500 and Senior or Graduate Standing. Minimum grade of ""C"" required for enforced prerequisite."
Entrepreneurship Courses | Michigan Engineering,ENTR 520,Technology-Inspired Business Models,"This course provides the framework that helps innovators understand the difference between innovative Value Creation and Innovative Value Capture.  Built around a series of analytical tools, this course uses lectures, guest speakers, classroom discussions, group activities and personal research to explore the applications and interactions of these tools.",3,NA,"ENTR 500 and Senior or Graduate Standing. Minimum grade of ""C"" required for enforced prerequisite."
Entrepreneurship Courses | Michigan Engineering,ENTR 530,Innovation and Intellectual Property Strategy,"The course examines intellectual property (IP) strategies for new ideas and startups, including barriers to entry for competitors and infringement risk reduction.  Topics include IP procurement, technology transfer, due diligence, and preparing for and avoiding litigation. Students should have their own research to apply what's learned in the class.",3,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 530,Innovation and Intellectual Property Strategy,"The course examines intellectual property (IP) strategies for new ideas and startups, including barriers to entry for competitors and infringement risk reduction.  Topics include IP procurement, technology transfer, due diligence, and preparing for and avoiding litigation. Students should have their own research to apply what's learned in the class.",3,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 530,Innovation and Intellectual Property Strategy,"The course examines intellectual property (IP) strategies for new ideas and startups, including barriers to entry for competitors and infringement risk reduction.  Topics include IP procurement, technology transfer, due diligence, and preparing for and avoiding litigation. Students should have their own research to apply what's learned in the class.",3,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 530,Innovation and Intellectual Property Strategy,"The course examines intellectual property (IP) strategies for new ideas and startups, including barriers to entry for competitors and infringement risk reduction.  Topics include IP procurement, technology transfer, due diligence, and preparing for and avoiding litigation. Students should have their own research to apply what's learned in the class.",3,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 530,Innovation and Intellectual Property Strategy,"The course examines intellectual property (IP) strategies for new ideas and startups, including barriers to entry for competitors and infringement risk reduction.  Topics include IP procurement, technology transfer, due diligence, and preparing for and avoiding litigation. Students should have their own research to apply what's learned in the class.",3,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 530,Innovation and Intellectual Property Strategy,"The course examines intellectual property (IP) strategies for new ideas and startups, including barriers to entry for competitors and infringement risk reduction.  Topics include IP procurement, technology transfer, due diligence, and preparing for and avoiding litigation. Students should have their own research to apply what's learned in the class.",3,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 540,Business for Math Innovators,"This course introduces non-business students to the essentials of ""business math."" Students will learn how existing departments or new companies raise funding, develop profit, deal with costs, mitigate risk and more - the basics of business performance and valuation through the numbers.",1,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 540,Business for Math Innovators,"This course introduces non-business students to the essentials of ""business math."" Students will learn how existing departments or new companies raise funding, develop profit, deal with costs, mitigate risk and more - the basics of business performance and valuation through the numbers.",1,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 540,Business for Math Innovators,"This course introduces non-business students to the essentials of ""business math."" Students will learn how existing departments or new companies raise funding, develop profit, deal with costs, mitigate risk and more - the basics of business performance and valuation through the numbers.",1,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 540,Business for Math Innovators,"This course introduces non-business students to the essentials of ""business math."" Students will learn how existing departments or new companies raise funding, develop profit, deal with costs, mitigate risk and more - the basics of business performance and valuation through the numbers.",1,NA,Senior or Graduate Standing.
Entrepreneurship Courses | Michigan Engineering,ENTR 550,Interpersonal Skills:  Leveling Up to Leadership,"Do you know how to give your best interview?  Or talk to and lead people?  Learn the Emotional Intelligence framework to better understand and manage yourself and others, and build strong relationships and lead teams.  Develop your own Personal Leadership Plan to help you ""level up"" as a graduate professional.",3,NA,Senior or Graduate Standing.
