department,code,title,description,credit,advised_requisite,pre_requisite
Integrative Systems + Design Courses | Michigan Engineering,AUTO 499,Special Topics in Automotive Engineering,Selected topics pertinent to Automotive Engineering.,3,NA,permission of instructor.
Integrative Systems + Design Courses | Michigan Engineering,AUTO 501,Integrated Vehicle Systems Design,This course is intended to examine the process by which a first layout is developed for a new vehicle platform. The course will focus on the layout of the major space-defining vehicle subsystems required to arrive at a preliminary vehicle package drawing. The process followed will be based on systems engineering: requirements-to-design concepts-to-performance prediction-to-comparison to requirements-to-iteration.,3,NA,Graduate student or permission of instructor.
Integrative Systems + Design Courses | Michigan Engineering,AUTO 503,Automotive Engineering Project,"As an essential component of the Master of Engineering in Automotive Engineering program, students are required to participate in a sponsored project in automotive engineering. The intent of this project course is to provide students with a capstone project experience where they can apply the knowledge and skills acquired to relevant automotive engineering problems. Each project must have a clearly defined problem or need and a solution methodology. The project must provide value-add to the sponsor.",3,NA,Permission of the department.
Integrative Systems + Design Courses | Michigan Engineering,AUTO 512,Lean Program Engineering,"This course provides an opportunity to acquire and demonstrate mastery of critical lean product design engineering disciplines within the context of an automotive vehicle program team.  The course identifies and integrates engineering skills, tools, and processes required for successful automotive vehicle project planning and completion consistent with lean product development principles.",3,NA,Graduate student or permission of the instructor.
Integrative Systems + Design Courses | Michigan Engineering,AUTO 533 (MECHENG 433),Advanced Energy Solutions,"Introduction to the challenges of power generation for a global society using the thermodynamics to understand basic principles and technology limitations. Covers current and future demands for energy; methods of power generation including fossil fuel, solar, wind and nuclear; associated detrimental by-products; and advanced strategies to improve power densities, efficiencies and emissions.",3,NA,MECHENG 235.
Integrative Systems + Design Courses | Michigan Engineering,AUTO 563,Dynamics and Controls of Automatic Transmissions,"Automatic transmission is a key element of automotive vehicles for improved driving comfort. This course will introduce the mechanisms, design and control of modern transmission systems. The emphasis will be on the dynamic analysis, and the application of modern control theories for the overall control design, analysis and synthesis problems.<strong>AUTO 566 (MECHENG 566). Modeling, Analysis, and Control of Hybrid Electric Vehicles",1,NA,Graduate student or permission of instructor.
Integrative Systems + Design Courses | Michigan Engineering,AUTO 563,Dynamics and Controls of Automatic Transmissions,"Automatic transmission is a key element of automotive vehicles for improved driving comfort. This course will introduce the mechanisms, design and control of modern transmission systems. The emphasis will be on the dynamic analysis, and the application of modern control theories for the overall control design, analysis and synthesis problems.<strong>AUTO 566 (MECHENG 566). Modeling, Analysis, and Control of Hybrid Electric Vehicles",1,NA,Graduate student or permission of instructor.
Integrative Systems + Design Courses | Michigan Engineering,AUTO 563,Dynamics and Controls of Automatic Transmissions,"Automatic transmission is a key element of automotive vehicles for improved driving comfort. This course will introduce the mechanisms, design and control of modern transmission systems. The emphasis will be on the dynamic analysis, and the application of modern control theories for the overall control design, analysis and synthesis problems.<strong>AUTO 566 (MECHENG 566). Modeling, Analysis, and Control of Hybrid Electric Vehicles",1,NA,Graduate student or permission of instructor.
Integrative Systems + Design Courses | Michigan Engineering,AUTO 599,Special Topics in Automotive Engineering,Selected topics pertinent to Automotive Engineering.,3,NA,Graduate standing or permission of instructor.
Integrative Systems + Design Courses | Michigan Engineering,ESENG 501,"Seminars on Energy Systems, Technology and Policy","This course is intended to provide students with an understanding the critical issues in energy technologies.  Researchers, industry leaders, entrepreneurs, and policymakers discuss technology, policy and economic drivers for sustainable global energy systems.  Students complete homework assignments and a term paper on an energy-themed subject.",3,NA,Graduate student or permission by instructor.
Integrative Systems + Design Courses | Michigan Engineering,ESENG 503,,This required project course is intended to provide students with a relevant experience in energy systems.,3,NA,ESENG 501.
Integrative Systems + Design Courses | Michigan Engineering,ESENG 503,,This required project course is intended to provide students with a relevant experience in energy systems.,3,NA,ESENG 501.
Integrative Systems + Design Courses | Michigan Engineering,ESENG 505 (MECHENG 571),Energy Generation and Storage Using Modern Materials,"Energy and power densities previously unattainable in environmentally-friendly energy technologies have been achieved through use of novel materials. Insertion of new materials into power supplies has changed the landscape of options. Design strategies for power systems are described, in the context of growing global demand for power and energy.<strong>ESENG 590. Study or Research in ESENG Topics",1,NA,MECHENG 382 and MECHENG 335 or equivalents.
Integrative Systems + Design Courses | Michigan Engineering,ESENG 505 (MECHENG 571),Energy Generation and Storage Using Modern Materials,"Energy and power densities previously unattainable in environmentally-friendly energy technologies have been achieved through use of novel materials. Insertion of new materials into power supplies has changed the landscape of options. Design strategies for power systems are described, in the context of growing global demand for power and energy.<strong>ESENG 590. Study or Research in ESENG Topics",1,NA,MECHENG 382 and MECHENG 335 or equivalents.
Integrative Systems + Design Courses | Michigan Engineering,ESENG 599,Special Topics in Energy Systems Engineering,Selected topics pertinent to the Energy Systems Engineering program.,3,NA,Permission of instructor.
Integrative Systems + Design Courses | Michigan Engineering,ISD 503,Integrative Systems + Design Practicum,,3,NA,Enforced
Integrative Systems + Design Courses | Michigan Engineering,ISD 503,Integrative Systems + Design Practicum,,3,NA,Enforced
Integrative Systems + Design Courses | Michigan Engineering,ISD 520,Introduction to Systems Engineering,"Introduction to the systems engineering process used to create multidisciplinary solutions to complex problems with multiple, often conflicting objectives; application to large developmental programs from such diverse areas as civil engineering and transportation, space and missiles, ships and land vehicle systems.<strong>ISD 590. Directed Study and Research",1,NA,Enforced
Integrative Systems + Design Courses | Michigan Engineering,ISD 520,Introduction to Systems Engineering,"Introduction to the systems engineering process used to create multidisciplinary solutions to complex problems with multiple, often conflicting objectives; application to large developmental programs from such diverse areas as civil engineering and transportation, space and missiles, ships and land vehicle systems.<strong>ISD 590. Directed Study and Research",1,NA,Enforced
Integrative Systems + Design Courses | Michigan Engineering,ISD 520,Introduction to Systems Engineering,"Introduction to the systems engineering process used to create multidisciplinary solutions to complex problems with multiple, often conflicting objectives; application to large developmental programs from such diverse areas as civil engineering and transportation, space and missiles, ships and land vehicle systems.<strong>ISD 590. Directed Study and Research",1,NA,Enforced
Integrative Systems + Design Courses | Michigan Engineering,ISD 599,Special Topics in ISD,Special topics in Integrative Systems and Design.,1,NA,See individual department requirements; permission of instructor.
Integrative Systems + Design Courses | Michigan Engineering,MFG 402 (MECHENG 401),Statistical Quality Control and Design,Evolution of quality method. Fundamentals of statistics. Process Behavior over time. Concept of statistical process control (SPC). Design and interpretation of control charts. Process capability study. Tolerance. Measurement system analysis. Correlation. Independent t-test and paired t-test. Design and analysis of two-level factorial experiments. Fractional factorial experiments. Response model building. Taguchi Methods. Case studies.,3,NA,Senior or graduate standing.
Integrative Systems + Design Courses | Michigan Engineering,MFG 410 (NAVARCH 410),Marine Structures II,"Structural modeling and analysis techniques applied to ship and marine structural components.  Equilibrium and energy methods applied to elastic beam theory; static bi-axial bending, torsion and buckling.  Shear flow in multicell cross sections.  Stiffened and composite plates.  Plastic analysis of beams and plates.  Structural limit states and introduction to structural reliability.",4,NA,NAVARCH 310.
Integrative Systems + Design Courses | Michigan Engineering,MFG 426 (IOE 425),Manufacturing Strategies,"Review of philosophies, systems, and practices utilized by world-class manufacturing and services organizations focusing on ""lean management,"" including material and information flow, in-process quality assurance, standardized work, continuous improvement, visual management, and learn leadership.  Practical examples and in-class exercises bring concepts to life.",2,NA,Senior standing.
Integrative Systems + Design Courses | Michigan Engineering,MFG 440 (IOE 440),Operations Analysis and Management,(3 credits) ,3,NA,IOE 310 and 316 or graduate standing. No credit granted for students who have credit for TO 605.
Integrative Systems + Design Courses | Michigan Engineering,MFG 441 (IOE 441),Production and Inventory Control,Basic models and techniques for managing inventory systems and for planning production. Topics include deterministic and probabilistic inventory models; production planning and scheduling; and introduction to factory physics.,3,NA,"IOE 310, IOE 316."
Integrative Systems + Design Courses | Michigan Engineering,MFG 447 (IOE 447),Facility Planning,"Fundamentals in developing efficient layouts for single-story and multi-story production and service facilities. Manual procedures and microcomputer-based layout algorithms. Algorithms to determine the optimum location of facilities. Special considerations for multi-period, dynamic layout problems.",3,NA,"IOE 310, IOE 316."
Integrative Systems + Design Courses | Michigan Engineering,MFG 452 (MECHENG 452),Design for Manufacturability,"Study of systematic methods in product design which improve overall quality and cost. Methods include analysis of customer needs, function analysis, product architecture, material and process selection, design for assembly, robust design, and Taguchi methods. A course project to implement the methods by redesigning a product is required.",3,NA,MECHENG 350.
