department,code,title,description,credit,advised_requisite,pre_requisite
Mechanical Engineering Courses | Michigan Engineering,MECHENG 211,Introduction to Solid Mechanics,"Statics: moment and force resultants, equilibrium. Mechanics of deformable bodies: stress/strain, classification of material behavior, generalized Hooke's law. Engineering applications: axial loads, torsion of circular rods and tubes, bending and shear stresses in beams, deflection of beams, combined stresses, stress and strain transformation. Four lecture classes per week.",4,NA,"Physics 140 & 141, and Math 116. ""Minimum grade of ""C"" required for enforced prerequisites."
Mechanical Engineering Courses | Michigan Engineering,MECHENG 235,Thermodynamics I,"Introduction to engineering thermodynamics.  First law, second law system and control volume analyses; properties and behavior of pure substances; application to thermodynamic systems operating in a steady state and transient processes.  Heat transfer mechanisms.  Typical power producing cycles and refrigerators.  Ideal gas mixtures and moist air applications.",3,NA,"Chem 130 & 125 or Chem 210 & 211, and Math 116."
Mechanical Engineering Courses | Michigan Engineering,MECHENG 240,Introduction to Dynamics and Vibrations,"Vector description of force, position, velocity and acceleration in fixed and moving reference frames. Kinetics of particles, of assemblies of particles and of rigid bodies. Energy and momentum concepts. Euler's equations. Moment of inertia properties. The simple oscillator and its applications.",4,NA,"Physics 140 &141, and preceded or accompanied by Math 216. Minimum grade of ""C"" required for enforced prerequisites."
Mechanical Engineering Courses | Michigan Engineering,MECHENG 250,Design and Manufacturing I,"Basics of mechanical design: visual thinking, engineering drawing and machine anatomy. Basics of manufacturing: processes, materials and thermofluid aspects. Use of computers in various phases of design and manufacturing. Exposure to CAD systems and basic machine shop techniques. Design/manufacturing project. Three hours lecture and two hours laboratory.<strong>MECHENG 290. RISE 2 - Research, Innovation, Service and Entrepreneurship",1,NA,"Math 116, ENGR 101 or equivalent. Minimum grade of ""C"" required for enforced prerequisite."
Mechanical Engineering Courses | Michigan Engineering,MECHENG 250,Design and Manufacturing I,"Basics of mechanical design: visual thinking, engineering drawing and machine anatomy. Basics of manufacturing: processes, materials and thermofluid aspects. Use of computers in various phases of design and manufacturing. Exposure to CAD systems and basic machine shop techniques. Design/manufacturing project. Three hours lecture and two hours laboratory.<strong>MECHENG 290. RISE 2 - Research, Innovation, Service and Entrepreneurship",1,NA,"Math 116, ENGR 101 or equivalent. Minimum grade of ""C"" required for enforced prerequisite."
Mechanical Engineering Courses | Michigan Engineering,MECHENG 305,Introduction to Finite Elements in Mechanical Engineering,"Introduction to theory and practice of the finite element method. One-dimensional, two-dimensional and three dimensional elements is studied, including structural elements. Primary fields of applications are strength of materials (deformation and stress analysis) and dynamics and vibrations. Extensive use of commercial finite element software packages, through computer labs and graded assignments. Two hour lecture and one hour lab.",3,NA,MECHENG 311.
Mechanical Engineering Courses | Michigan Engineering,MECHENG 311,Strength of Materials,"Energy methods; buckling of columns, including approximate methods; bending of beams of asymmetrical cross-section; shear center and torsion of thin-walled sections; membrane stresses in axisymmetric shells; elastic-plastic bending and torsion; axisymmetric bending of circular plates.",3,NA,"MECHENG 211, Math 216."
Mechanical Engineering Courses | Michigan Engineering,MECHENG 320,Fluid Mechanics I,"Fluid statics; conservation of mass, momentum and energy in fixed and moving control volumes; steady and unsteady Bernoulli's equation; differential analysis of fluid flow; dimensional analysis and similitude; laminar and turbulent flow; boundary layers; lift and drag; applications to mechanical, biological, environmental, and micro-fluidic systems",3,NA,"Math 215, MECHENG 235 and MECHENG 240.  Minimum grade of ""C"" required for enforced prerequisites."
Mechanical Engineering Courses | Michigan Engineering,MECHENG 335,Heat Transfer,"Heat transfer by conduction, convection, radiation; heat storage, energy conservation; steady-state/transient conduction heat transfer; thermal circuit modeling; multidimensional conduction; surface radiation properties, enclosure radiation exchange; surface convection/fluid streams over objects, non-dimensional numbers, laminar, turbulent, thermo-buoyant flow, boiling and condensation; heat exchangers; design of thermal systems, solvers for problem solving/ design.",3,NA,"MECHENG 320.  Minimum grade of ""C"" required for enforced prerequisites."
Mechanical Engineering Courses | Michigan Engineering,MECHENG 336,Thermodynamics II,"Thermodynamic power and refrigeration systems; availability and evaluation of thermodynamic properties; general thermodynamic relations, equations of state and compressibility factors; chemical reactions; combustion; gaseous dissociation; phase equilibrium. Design and optimization of thermal systems.",3,NA,MECHENG 235.
