department,code,title,description,credit,advised_requisite,pre_requisite
Materials Science and Engineering Courses | Michigan Engineering,MATSCIE 193,Special Topics in Materials Science and Engineering,Special topics of current interest to students.<strong>,1,NA,permission of instructor.
Materials Science and Engineering Courses | Michigan Engineering,MATSCIE 220,Introduction to Materials and Manufacturing,"Introduction to materials engineering and materials processing in manufacturing. The engineering properties of metals, polymers, semiconductors, ceramics and composites are correlated with the internal structure of the materials and the service conditions.",4,NA,Chem 130 or Chem 210.
Materials Science and Engineering Courses | Michigan Engineering,MATSCIE 242,Physics of Materials,"Basic principles and applications of solid state physics.  Mathematical and physical description of classical and quantum mechanics, crystallography and diffraction.  Applications to solid, including brand structure, bonding and physical properties.",4,NA,Physics 240 and preceded or accompanied by Math 216.
Materials Science and Engineering Courses | Michigan Engineering,MATSCIE 250,Principles of Engineering Materials," Introductory course to engineering materials.  Properties (mechanical, thermal and electrical) of metals, polymers, ceramics and electronic materials.  Correlation of these properties with (1) their internal structures (atomic, molecular, crystalline, micro- and macro-), (2) service conditions (mechanical, thermal, chemical, electrical, magnetic and radiation), and (3) processing.",3,NA,Chem 130 or Chem 210.
Materials Science and Engineering Courses | Michigan Engineering,MATSCIE 280,Materials Science and Engineering Undergraduate Research Opportunity,"The UROP program enables students to work one-on-one or with a small group of students with faculty members conducting research. Students receive 1 credit per 3 hours of work per week. Students participating in the program are required to attend biweekly research peer group meetings, meet monthly with a peer advisor and keep a research journal.",1,NA,Open only to 1st- or 2nd-year undergraduate students with permission of instructor.
Materials Science and Engineering Courses | Michigan Engineering,MATSCIE 330,Thermodynamics of Materials,"The laws of thermodynamics and their consequences. Applications to solid and liquid materials. Mass and energy balances. Gas reactions. Phase diagrams. Ellingham, Pourbaix and stability diagrams. Defects in solids. Interfaces. Statistical thermodynamics.",4,NA,"Chem 130 or 210, Phys 140/141, Math 215, and MATSCIE 220 or 250."
Materials Science and Engineering Courses | Michigan Engineering,MATSCIE 335,Kinetics and Transport in Materials Engineering,"Application of basic principles of molecular transport and mass, energy and momentum balance to the solution of heat, diffusion and fluid flow problems relevant to materials processing. Introduction to radiative heat transfer. Empirical approaches to and dimensional analysis of complex transport problems including convection, turbulence and non-Newtonian flow.",4,NA,Enforced
Materials Science and Engineering Courses | Michigan Engineering,MATSCIE 350,Structures of Materials,"Basic principles of Materials Science &amp; Engineering; including bonding, structure and microstructure and how they are influenced by thermodynamics and kinetics.",4,NA,MATSCIE 220 or MATSCIE 250.
Materials Science and Engineering Courses | Michigan Engineering,MATSCIE 360,Materials Laboratory I,"Laboratory experiences based on principles emphasized in Fundamentals of Materials Science including processing, properties, and structure with a focus on micro structural analysis and structure-property relationships. Continued as MATSCIE 365.",3,NA,accompanied or preceded by MATSCIE 350.
Materials Science and Engineering Courses | Michigan Engineering,MATSCIE 365,Materials Laboratory II,<i>MATSCIE 242. ,0,NA,MATSCIE 360. Advised prerequisite
