department,code,title,description,credit,advised_requisite,pre_requisite
UARTS Courses | Michigan Engineering,UARTS 101,Creativity and Collaborations I,,1,NA,None.
UARTS Courses | Michigan Engineering,UARTS 102,Creativity and Collaborations II,,1,NA,None.
UARTS Courses | Michigan Engineering,UARTS 102,Creativity and Collaborations II,,1,NA,None.
UARTS Courses | Michigan Engineering,UARTS 102,Creativity and Collaborations II,,1,NA,None.
UARTS Courses | Michigan Engineering,UARTS 150,Introduction to the Creative Process,,4,NA,None.
UARTS Courses | Michigan Engineering,UARTS 150,Introduction to the Creative Process,,4,NA,None.
UARTS Courses | Michigan Engineering,UARTS 200,Living Arts Peer Mentorship,,1,NA,None.
UARTS Courses | Michigan Engineering,UARTS 250,Creative Process,,4,NA,None.
UARTS Courses | Michigan Engineering,UARTS 290,Special Topics in University Arts,,1,NA,None.
UARTS Courses | Michigan Engineering,UARTS 390,Special Topics in University Arts,,1,NA,None.
UARTS Courses | Michigan Engineering,UARTS 490,Special Topics in University Arts,,1,NA,None.
UARTS Courses | Michigan Engineering,UARTS 550,Creative Process,,4,NA,None.
UARTS Courses | Michigan Engineering,UARTS 590,Creative Process,,4,NA,None.
