department,code,title,description,credit,advised_requisite,pre_requisite
Aerospace Engineering Courses | Michigan Engineering,AEROSP 201,Introduction to Aerospace Engineering,"Introduction to Aerospace Engineering. Flight vehicles in the atmosphere and in space. Flight technologies, including structures, materials, propulsion, aerodynamics, vehicle dynamics, flight control, flight information systems and systems integration. An overview of aeronautics. Steady aircraft flight and performance. An overview of astronautics. <a class=""external-link"" href=""https://art.ai.umich.edu/course/AEROSP%20201/"" target=""_self"" title="""">View course profile.",3,NA," Preceded by ENGR 100, ENGR 101, PHYS 140/141 and MATH 116"
Aerospace Engineering Courses | Michigan Engineering,AEROSP 205,Introduction to Aerospace Engineering Systems,"A Systems Engineering Experience: Introduces engineering processes by means of design, build, test and operation of flight vehicles. Exposure to technologies including: computer aided design, manufacturing, simulation, composites, mechanisms, instrumentation and basic electronics. Embedded software development for data acquisition and processing, control and communications. Individual and team projects. <a class=""external-link"" href=""https://art.ai.umich.edu/course/AEROSP%20205/"" target=""_self"" title="""">View course profile.",3,NA," PHYS 140, 141, MATH 116, ENGR 100, ENGR 101 or 151."
Aerospace Engineering Courses | Michigan Engineering,AEROSP 215,Introduction to Solid Mechanics and Aerospace Structures,"An introduction to the fundamental phenomena of solid and structural mechanics in Aerospace systems. Includes analysis and numerical methods of solutions used for design of thin-walled Aerospace structures. Emphasis is placed on understanding behavior particular to thin-walled structures. <a class=""external-link"" href=""https://art.ai.umich.edu/course/AEROSP%20215/"" target=""_self"" title="""">View course profile.",4,NA, Preceded or accompanied by MATH 216 and AEROSP 201.
Aerospace Engineering Courses | Michigan Engineering,AEROSP 225,Introduction to Gas Dynamics,"This course covers fundamental concepts in thermodynamics and fluid dynamics. Topics include molecular and continuum concepts for fluids, first and second laws of thermodynamics, conservation laws for moving fluids, one-dimensional compressible flows, shocks and expansion waves, flows in nozzles, and two- and three-dimensional compressible flows. <a class=""external-link"" href=""https://art.ai.umich.edu/course/AEROSP%20225/"" target=""_self"" title="""">View course profile.",4,NA," MATH 215, CHEM 125/130, Physics 140/141."
Aerospace Engineering Courses | Michigan Engineering,AEROSP 285,Aerospace Engineering Seminar,"Seminars by noted speakers, designed to acquaint undergraduates with contemporary technologies and broader issues in the global aerospace enterprise.  Technical communications based upon the seminars. <a class=""external-link"" href=""https://art.ai.umich.edu/course/AEROSP%20285"" target=""_self"" title="""">View course profile.",1,NA, preceded or accompanied by AEROSP 201.
Aerospace Engineering Courses | Michigan Engineering,AEROSP 290,Directed Study,"Study aspects of aerospace engineering that are not suitable for technical elective credit. May be used for student team projects, pilot ground school, UROP or other academic studies that are directed by an Aerospace Engineering faculty member. <a class=""external-link"" href=""https://art.ai.umich.edu/course/AEROSP%20290/"" target=""_self"" title="""">View course profile.",1,NA, permission of instructor
Aerospace Engineering Courses | Michigan Engineering,AEROSP 305,Aerospace Engineering Laboratory I,"<span style=""color: #000000; ""><i> ",4,NA, preceded or accompanied by
Aerospace Engineering Courses | Michigan Engineering,AEROSP 315,Aircraft and Spacecraft Structures,"Concepts of displacement, strain, stress, compatibility, equilibrium and constitutive equations as used in solid mechanics. Emphasis is on boundary-value problem formulation via simple examples, followed by the use of the finite-element method for solving problems in vehicle design.",4,NA, preceded by AEROSP 215 and MATH 216.
Aerospace Engineering Courses | Michigan Engineering,AEROSP 325,Aerodynamics,"Fundamental concepts in aerodynamics. Students learn how airfoils produce lift and how the pressure distribution about an airfoil can be calculated. Introduces the boundary-layer concept, how boundary layers lead to drag and what makes them prone to instability and turbulence or separation. Effects of the wing planform shape on lift and drag. Introduction to airfoil design, high-lift devices and high-speed aerodynamics.",4,NA, preceded by MATH 216 and AEROSP 225.
Aerospace Engineering Courses | Michigan Engineering,AEROSP 335,Aircraft and Spacecraft Propulsion,"Airbreathing propulsion, rocket propulsion and an introduction to modern advanced propulsion concepts. Includes thermodynamic cycles as related to propulsion and the chemistry and thermodynamics of combustion. Students analyze turbojets, turbofans and other air-breathing propulsion systems. Introduces liquid- and solid-propellant rockets and advanced propulsion concepts such as Hall thrusters and pulsed plasma thrusters. Students also learn about the environmental impact of propulsion systems and work in teams to design a jet engine.",4,NA, preceded by AEROSP 225 and MATH 216.
