department,code,title,description,credit,advised_requisite,pre_requisite
Applied Physics Courses | Michigan Engineering,APPPHYS 514,Applied Physics Seminar,"Graduate seminars are required each term to familiarize students with current research and problems. Given by a mix of faculty, external lecturers and the students themselves to acquaint students with the scope of research activity and opportunities, the goal of the seminar structure is to promote a strong interaction among the interdisciplinary work being done in applied physics.",1,NA, graduate studies.
Applied Physics Courses | Michigan Engineering,APPPHYS 530 (EECS 530),Electromagnetic Theory I,"Maxwell's equations, constitutive relations and boundary conditions. Potentials and the representation of electromagnetic fields. Uniqueness, duality, equivalence, reciprocity and Babinet's theorems. Plane, cylindrical and spherical waves. Waveguides and elementary antennas. The limiting case of electro- and magneto-statics.",3,NA, EECS 330 or Physics 438.
Applied Physics Courses | Michigan Engineering,APPPHYS 537 (EECS 537),Classical Optics,"Theory of electromagnetic, physical and geometrical optics. Classical theory of dispersion. Linear response, Kramers-Kronig relations and pulse propagation. Light scattering. Geometrical optics and propagation in inhomogeneous media. Dielectric waveguides. Interferometry and theory of coherence. Diffraction, Fresnel and Fraunhofer. Gaussian beams and ABCD law.",3,NA, EECS 330 and EECS 334.
Applied Physics Courses | Michigan Engineering,APPPHYS 540 (EECS 540),Applied Quantum Mechanics I,"Introduction to nonrelativistic quantum mechanics. Summary of classical mechanics, postulates of quantum mechanics and operator formalism, stationary state problems (including quantum wells, harmonic oscillator, angular momentum theory and spin, atoms and molecules, band theory in solids), time evolution, approximation methods for time independent and time dependent interactions including electromagnetic interactions, scattering.",3,NA, permission of instructor.
Applied Physics Courses | Michigan Engineering,APPPHYS 541 (EECS 541),Applied Quantum Mechanics II,"Continuation of nonrelativistic quantum mechanics. Advanced angular momentum theory, second quantization, non-relativistic quantum electrodynamics, advanced scattering theory, density matrix formalism, reservoir theory.",3,NA, AP 540 or EECS 540.
Applied Physics Courses | Michigan Engineering,APPPHYS 546 (EECS 546),Ultrafast Optics,Propagation of ultrashort optical pulses in linear and nonlinear media and through dispersive optical elements. Laser mode-locking and ultrashort pulse generation. Chirped-pulse amplification. Experimental techniques for high time resolution. Ultrafast Optoelectronics. Survey of ultrafast high field interactions.,3,NA, EECS 537.
Applied Physics Courses | Michigan Engineering,APPPHYS 550 (EECS 538) (Physics 650),Optical Waves in Crystals,Propagation of laser beam: Gaussian wave optics and the ABCD law. Crystal properties and the dielectric tensor; electro-optic effects and devices; acousto-optic diffraction and devices. Introduction to nonlinear optics: coupled mode theory and second harmonic generation; phase matching.,3,NA, EECS 434.
Applied Physics Courses | Michigan Engineering,APPPHYS 551 (EECS 539) (Physics 651),Lasers,"Complete study of laser operation: the atom-field interaction; homogeneous and inhomogeneous broadening mechanisms; atomic rate equations; gain, amplification and saturation; laser oscillation; laser resonators, modes, and cavity equations; cavity modes; laser dynamics, Q-switching and modelocking. Special topics such as femto-second lasers and ultrahigh power lasers.",3,NA, EECS 537 and EECS 538.
Applied Physics Courses | Michigan Engineering,APPPHYS 552 (EECS 552),Fiber Optical Communications,"This course covers the basics of fibers and applications in fields as diverse as high power and broadband lasers, biomedical diagnostics and therapeutics, telecommunications, and internet communications.  Propagation, optical amplification, and nonlinearities in fibers are discussed, and examples include transmission systems and lasers.  Biomedical applications include dermatology, cardiology, and ophthalmology.",3,NA, EECS 434 or EECS 538 or permission of instructor.
Applied Physics Courses | Michigan Engineering,APPPHYS 601 (Physics 540),Advanced Condensed Matter,"A unified description of equilibrium condensed matter theory (using Green's functions); critical phenomena, Anderson localization and correlated electron theory.",3,NA,(3 credits) 
Applied Physics Courses | Michigan Engineering,APPPHYS 609 (EECS 638) (Physics 542),Quantum Theory of Light,The atom-field interaction; density matrix; quantum theory of radiation including spontaneous emission; optical Bloch equations and theory of resonance fluorescence; coherent pulse propagation; dressed atoms and squeezed states; special topics in nonlinear optics.,3,NA, quantum mechanics electrodynamics and atom physics. I even years.
Applied Physics Courses | Michigan Engineering,APPPHYS 611 (EECS 634) (Physics 611),Nonlinear Optics,"Formalism of wave propagation in nonlinear media; susceptibility tensor; second harmonic generation and three-wave mixing; phase matching; third order nonlinearities and four-wave mixing processes; stimulated Raman and Brillouin scattering. Special topics: nonlinear optics in fibers, including solitons and self-phase modulation.",3,NA, EECS 537 or EECS 538 or EECS 530.
Applied Physics Courses | Michigan Engineering,APPPHYS 619 (Physics 619),Advanced Solid State Physics,"Photon, neutron and electron scattering in condensed matter: elastic and inelastic scattering in condensed matter. The theory of neutron, electron and photon (Rayleigh, Brillouin, Raman, and x-ray) scattering will be presented with an overview of the corresponding experimental techniques; linear response theory, fluctuation-dissipation theorem, elementary excitations in condensed matter, hydrodynamics and symmetry analysis using group theory. AP 633 (Physics 633). Fluid Dynamics",3,NA, 520
Applied Physics Courses | Michigan Engineering,APPPHYS 619 (Physics 619),Advanced Solid State Physics,"Photon, neutron and electron scattering in condensed matter: elastic and inelastic scattering in condensed matter. The theory of neutron, electron and photon (Rayleigh, Brillouin, Raman, and x-ray) scattering will be presented with an overview of the corresponding experimental techniques; linear response theory, fluctuation-dissipation theorem, elementary excitations in condensed matter, hydrodynamics and symmetry analysis using group theory. AP 633 (Physics 633). Fluid Dynamics",3,NA, 520
