department,code,title,description,credit,advised_requisite,pre_requisite
Civil and Environmental Engineering Courses | Michigan Engineering,CEE 200,Introduction to Civil and Environmental Engineering,An introduction to the nature and scope of the civil and environmental engineering disciplines and specialty programs. Includes case studies from practice and information about academic and professional opportunities for CEE students.<strong>CEE 211. Statics and Dynamics,4,NA,none; mandatory pass/fail.
Civil and Environmental Engineering Courses | Michigan Engineering,CEE 200,Introduction to Civil and Environmental Engineering,An introduction to the nature and scope of the civil and environmental engineering disciplines and specialty programs. Includes case studies from practice and information about academic and professional opportunities for CEE students.<strong>CEE 211. Statics and Dynamics,4,NA,none; mandatory pass/fail.
Civil and Environmental Engineering Courses | Michigan Engineering,CEE 212,Solid and Structural Mechanics,"Fundamental principles of solid and structural mechanics and their application in engineering disciplines. Covered: concepts of stress and strain, stress and strain transformations, axial, torsion, bending and combined loading and elastic deformations.",3,NA,CEE 211 or equivalent.
Civil and Environmental Engineering Courses | Michigan Engineering,CEE 230,Thermodynamics and the Environment,"The First and Second Laws of thermodynamics are applied to systems impacting built and natural environments to determine the performance requirements and thermodynamic efficiencies of engineered processes. Topics of converage include the properties of pure substances and mixtures, phase changes, reaction and phase equilibrium, heating, air conditioning, and power generation.",3,NA,Math 116; Chem 130 & 125/126 or Chem 210 & 211 advised.
Civil and Environmental Engineering Courses | Michigan Engineering,CEE 265,Sustainable Engineering Principles,"Sustainable engineering principles include calculations of environmental emissions and resource consumption. Mass and energy balance calculations in context of pollution generation and prevention, resouce recovery and life-cycle assessment. Economic aspects of sustainable engineering decision-making. Social impacts of technology system design decisions including ethical frameworks, government legislation and health risks.",3,NA,"Chem 130, Math 116."
Civil and Environmental Engineering Courses | Michigan Engineering,CEE 270,Statistical Methods for Data Analysis and Uncertainty Modeling,"Introductory probability and statistics with emphasis on data analysis and uncertainty modeling for engineering and environmental systems. Descriptive statistics, graphical representation of data, linear regression, correlation, discrete and continuous probability distributions, conditional probability, estimation, statistical inference, extreme events, reliability analysis and techniques for design under uncertainity.",3,NA,Math 116 and ENGR 101.
Civil and Environmental Engineering Courses | Michigan Engineering,CEE 303,Computational Methods for Engineers and Scientists,"Applications of numerical methods to infrastructure and environmental problems. Development of mathematical models and computer programs using a compiled language (FORTRAN). Formulation and solution of initial and boundary-value problems with emphasis on structural analysis, fluid flow and transport of contaminants. Lecture, recitation and computation.",4,NA,"ENGR 101, Math 216."
Civil and Environmental Engineering Courses | Michigan Engineering,CEE 312,Structural Engineering,"Introduction to the field of structural engineering.  Discussion of structural analysis techniques and concepts such as virtual work, flexibility method, stiffness method, influence lines and matrix structural analysis.  Training in AutoCAD and exposure to commonly used structural analysis computer program(s).  Discussion of basic design concepts and principles.",4,NA,CEE 212 or equivalent.
Civil and Environmental Engineering Courses | Michigan Engineering,CEE 325,Fluid Mechanics,"Principles of mechanics applied to real and ideal fluids. Fluid properties and statics; continuity, energy, and momentum equations by control volume analysis; differential equations of motion for laminar and turbulent flow; dimensional analysis and similitude; boundary layers, drag and lift; incompressible flow in pipes; fluid measurement and turbomachinery. Lecture and laboratory.",4,NA,CEE 211.
Civil and Environmental Engineering Courses | Michigan Engineering,CEE 345,Geotechnical Engineering,"Soil origins, classification and index properties; phase relationships; earth moving and soil compaction; groundwater seepage; compressibility and consolidation; settlement; shear strength and failure; applications to foundations; retaining structures and slopes. Lecture and laboratory.",4,NA,Physics 140.
