department,code,title,description,credit,advised_requisite,pre_requisite
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 201,Economic Decision Making,"Overview of business operations, valuation and accounting principles. Time value of money and net present values. Practical team project experience.",7,NA,ENGR 100 and ENGR 101.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 202,Operations Modeling,"Process of mathematically modeling operational decisions including the role of uncertainty in decision-making. Basic tools for solving the resulting models, particularly mathematical programs, statistical models and queueing models. Cases may come from manufacturing and service operations and ergonomics.",7,NA,ENGR 100 and ENGR 101.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 265,Probability and Statistics for Engineers,"Graphical Representation of Data; Axioms of Probability; Conditioning, Bayes Theorem; Discrete Distributions (Geometric, Binomial, Poisson); Continuous Distributions (Normal Exponential, Weibull), Covariance and Correlation. Point and Interval Estimation, Likelihood Functions, Test of Hypotheses for Means, Variances and Proportions for One and Two Populations.",3,NA,"Math 116 and ENGR 101, C- or better."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 310,Introduction to Optimization Methods,"Introduction to deterministic models with emphasis on linear programming; simplex and transportation algorithms, engineering applications, relevant software. Introduction to integer, network and dynamic programming, critical path methods.",4,NA,"Math 214, IOE 202 and ENGR 101."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 316,Introduction to Markov Processes,"Introduction to discrete Markov Chains and continuous Markov processes, including transient and limiting behavior. Introduction to Markov Decision Processes. The Poisson/Exponential process. Applications to reliability, maintenance, inventory, production, queues and other engineering problems.",3,NA,"IOE 265 and Math 214. Minimum grade of ""C-"" for enforced prerequisite."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 333,Ergonomics,"Introduction to human sensory, decision, control, and motor systems in the context of visual, auditory, cognitive and manual task evaluation and design. Problems with computer displays, illumination, noise, eye-hand coordination as well as repetitive and high physical effort tasks are presented. Workplace and vehicle design strategies used to resolve these are discussed.",3,NA,preceded or accompanied by IOE 265.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 334,Ergonomics Lab,"Principles of measurement and prediction of human performance in man-machine systems. Laboratory experiments investigating human capabilities of vision, hearing, information processing, memory, motor processes, strength and endurance.",1,NA,preceded or accompanied by IOE 333.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 366,Linear Statistical Models,"Linear statistical models and their application to engineering data analysis. Linear regression and correlation, multiple linear regression, stepwise selection, analysis of variance, introduction to design of experiments, data exploration techniques.",3,NA,"IOE 265 and Math 214, C- or better."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 373,Data Processing,Introduction to the systems organization and programming aspects of modern digital computers. Concepts of algorithms and data structure will be discussed with practical business applications.,4,NA,ENGR 101.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 413,Optimization Modeling in Health Care,<strong>,7,NA,IOE 265 and IOE 310 or equivalent.
