department,code,title,description,credit,advised_requisite,pre_requisite
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 211 (ENSCEN 211),Introduction to Nuclear Engineering and Radiological Sciences,,4,NA,preceded or accompanied by Math 216.
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 250,Fundamentals of Nuclear Engineering and Radiological Sciences,,4,NA,preceded or accompanied by Math 216 and Physics 240 .
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 290,Special Topics for Nuclear Engineering and Radiological Sciences,,1,NA,permission of instructor.
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 299,Directed Study in Nuclear Engineering and Radiological Sciences,,1,NA,none.
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 311,Elements of Nuclear Engineering and Radiological Sciences I,,3,NA,"NERS 250, Physics 240, preceded or accompanied by Math 454."
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 312,Elements of Nuclear Engineering and Radiological Sciences II,,3,NA,NERS 311.
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 315,Nuclear Instrumentation Laboratory,,4,NA,"EECS 215 or EECS 314, preceded or accompanied by NERS 312."
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 344,Fluid Mechanics for Nuclear Engineers,,3,NA,NERS 311 and MECHENG 235.
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 421,Nuclear Engineering Materials,,3,NA,"MATSCIE220 or MATSCIE 250, NERS 312."
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 425,Application of Radiation,,4,NA,NERS 312.
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 441,Nuclear Reactor Theory I,,4,NA,"NERS 312, Math 454."
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 442,Nuclear Power Reactors,,4,NA,"NERS 441, CEE 325 or MECHENG 320 or equivalent."
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 444,Thermal-hydraulics for Nuclear Systems,,3,NA,Enforced
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 444,Thermal-hydraulics for Nuclear Systems,,3,NA,Enforced
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 471,Introduction to Plasmas,,3,NA,preceded or accompanied by Physics 240 or equivalent.
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 472,Fusion Reactor Technology,,3,NA,NERS 471.
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 481,(BIOMEDE 481) Engineering Principles of Radiation Imaging,,2,NA,(2 credits)
Nuclear Engineering and Radiological Sciences Courses | Michigan Engineering,NERS 484,"(BIOMEDE 484, ENSCEN 484) Radiological Health Engineering Fundamentals",,4,NA,NERS 312 or equivalent or permission of instructor.
