department,code,title,description,credit,advised_requisite,pre_requisite
University of Michigan School of Information,SI491,Independent Study,,1,,
University of Michigan School of Information,SI311,Special Topics in Information,View syllabus,3,,
University of Michigan School of Information,SI310,Information Environments and Work,"This course looks at information's role in organizations, including psychological, economic, management and sociocultural perspectives.  Explores sense-making and effective communication, including the importance of ""story-telling.""  Covers key humanistic perspectives and ethical issues related to information.  Goes into the nature of requirements and helps students learn to ""swim in a sea of data"" in organizations.  The course focuses on the importance of working at the frontier. View syllabus",4,,
University of Michigan School of Information,SI316,Designing and Analyzing Social Media Feeds,"Social media, advertising, and computing often feature ""feeds,"" -- a personalized list of changing items. This course considers the user experience of feeds, feed interaction design, feed business strategies, relevance algorithms, feed fiascoes, social feeds a data, and audience targeting -- all across the contexts of commerce, news, education, and expression. View syllabus",3,,
University of Michigan School of Information,SI315,Interpersonal and Psychological Implications of Social Media,"This course provides students with a strong theoretical foundation for approaching the ways in which new social media platforms can shape how interpersonal relationships are initiated, maintained, and developed as well as the implications of these tools for psychological processes. View syllabus",3,,
University of Michigan School of Information,SI554,Consumer Health Informatics,"Consumer health informatics (CHI) gives health care consumers information and tools to facilitate their engagement.  Students will become familiar with, and evaluate, a range of CHI applications.  They will also assess the needs and technological practices of potential users, generate theory-informed design and implementation strategies, and select appropriate evaluation approaches. View syllabus",3,,
University of Michigan School of Information,SI551,Behavior and Experience of Information Users,"This course examines behavior and experience focusing on how information users need, seek, give, and use information in different contexts. The purpose of this course is to provide theoretical and practical framework for information professionals who wish to design and evaluate information systems and service s based on user-centered approaches. This course is organized as three units. The first unit introduces theories, models, and core concepts of information behavior to provide conceptual frameworks to interpret users' behavior and experience in fundamental ways. The second unit introduces various research methodologies for studying information behavior, and provides hands-on experience with ethnographic methods. Lastly, students discuss behavior and experience of information users and user groups in diverse contexts such as academic settings, professional work settings, everyday life, health contexts, digital learning environments, and social media. Discussions focus on how findings from information behavior research can be used to inform and improve the design of information systems and services. View syllabus",3,,
University of Michigan School of Information,SI552,Technology &amp; Accessibility,"This class is an introduction to disability studies and accessibility.  Students will learn about contemporary discourses on disability as a social, cultural, historical and political phenomenon, and will learn about various kinds of assistive technologies and their design, and about accessibility in the digital domain. View syllabus",3,,
University of Michigan School of Information,SI647,Information Resources and Services,"This course introduces the principles and practice of reference and information services and provides practical guidelines for evaluating and using a variety of information sources. The course focuses on providing students with practical experience, but it also covers how research findings related to reference interaction can be translated into practical guidelines and implemented by information professionals in various work settings. The core theme of this course revolves around understanding reference services and sources from a user information needs and seeking perspective rather than from a bibliography- or source-centered viewpoint.  Upon completion of this course, students will be able to: (1) Demonstrate the ability to conduct effective reference service interviews; (2) Identify and use appropriate reference sources to find answers to reference questions; (3) Apply criteria to be used in evaluating reference sources; (4) Demonstrate knowledge of users? information needs, seeking, and use; (5) Possess familiarity with current problems, trends, and issues in the field of reference and information services. View syllabus",3,,
University of Michigan School of Information,SI646,Information Economics,"Course provides a strong grounding in the economics of information goods and services. Students analyze strategic issues faced by for-profit and not-for-profit organizations: pricing, bundling, versioning, product differentiation and variety, network externalities, and rights management.",1.5,SI 562 & SI 563 or equivalent course in intermediate microeconomics,
University of Michigan School of Information,SI410,Ethics and Information Technology,"Applies an emergent philosophy of information to a variety of new technologies that are inherently social in their design, construction, and use. Learning modules include: social media interaction; remembering/forgetting; and game design ethics. By collaborating on building a wiki community, students explore ethical/unethical information behaviors and test information quality metrics. View syllabus",4,,
University of Michigan School of Information,SI640,Digital Libraries and Archives,"This course focuses on the current state of ""digital libraries"" from a multidisciplinary perspective.  Its point of departure is the possibilities and prospects for convergence of professions and cultures around the notion of digital media and content.  The course covers the history of the idea of digital library and digital archive, especially its manifestation as projects and programs in academic, non-profit, and research settings, and the suite of policy issues that influence the development and growth of digital libraries and archives.  A foundation of core archival principles as applied in digital library and archives settings will serve as an intellectual construct supporting the exploration of the related concepts of scholarly communication, digital preservation, cyberinfrastructure, representation, and standards/best practices.  Students will be expected to master a diverse literature, to participate actively in the discussion of issues, and to take steps, collectively and individually, to advance our understanding of future directions of digital libraries and archives. View syllabus",3,SI 500 and 502 or permission of instructor,
University of Michigan School of Information,SI643,Instructional Skills for Information Professionals,"Whether creating a tutorial for a new app, leading a workshop about archival materials, hosting a webinar for students or customers, or engaging colleagues in discussions around a provocative article, information professionals are frequently involved in teaching and learning activities. To engage others means moving beyond lecturing or ""telling information"" and, instead, to think about how you can empower others' learning. You'll learn about learning theories, then get practical strategies to help you plan, execute, reflect upon, and assess learning in multiple modalities: video tutorials, discussion groups, face-to-face workshops, and online webinars. You'll select teaching topics based on the needs, interests, and challenges you will face in future employment so that you can use your projects in your portfolio.",3,SI 501 or permission of instructor.,
University of Michigan School of Information,SI629,Access Systems,"This course examines the interactions of people, content, and technologies in relation to archival repositories, archival materials, and the users of archives. Students taking this course will learn about current access systems for locating archival materials and system evaluation. Other learning objectives include: understanding basic concepts related to information seeking in archives and learning how to use major standards, such as DACS, create MARC21 and EAD/XML records, and migrate complex metadata. Students interested in the description or archival collections, publishing archival metadata on the web, or providing reference services should take this course. The course is primarily lecture based with small group in-class exercises. There is a major group project at the end. View syllabus",3,SI 502 or permission of instructor,
University of Michigan School of Information,SI995,Diss-Cand,,4,Doctoral student status,Cand
University of Michigan School of Information,SI990,Diss-Precand,,1,Election for dissertation work by doctoral student not yet admitted as a Candidate.,
University of Michigan School of Information,SI301,Models of Social Information Processing,"This course focuses on how social groups form, interact, and change.  We look at the technical structures of social networks and explore how individual actions are combined to produce collective effects.  The techniques learned in this course can be applied to understanding friend systems like Facebook, recommender systems such as Digg, auction systems such as Ebay, and information webs used by search engines such as Google.  This course introduces two conceptual models, networks and games, for how information flows and is used in multi-person settings.  Networks or graph representations describe the structure of connections among people and documents.  They permit mathematical analysis and meaningful visualizations that highlight different roles played by different people or documents, as well as features of the collection as a whole.  Game representations describe, in situations of interdependence, the actions available to different people and how each person's outcomes are contingent on the choices of other people.  It permits analysis of stable sets of choices by all the people (equilibrium's).  It also provides a framework for analysis of the likely effects of alternative designs for markets and information elicitation mechanisms, based on their abstract game representations.  Assignments in the course include problem sets exploring the mechanics of the models and essays applying them to current applications in social computing. View syllabus",4,,
University of Michigan School of Information,SI544,Introduction to Statistics and Data Analysis,"The purpose of this class will be to provide students with a basic understanding of statistics, that is the ability to describe various populations and draw inferences about them.  It should also sharpen individual intuition about how to read data, interpret data, and judge others' claims about data.  It should be useful to a wide variety of students both as preparation for more advanced courses and as a means to professional advancement.

Specifically, skills to be developed are:
1. Abilities to characterize population data intuitively for oneself and others.  2. Ability to draw conclusions and novel inferences from population data.  3. Ability to check assumptions of others' claims and debug their putative ""facts"".  4. Ability to look for correlations while controlling for confounding effects.  5. Overall, the chief objective is to demystify the process of inquiry into what isn't known. View syllabus",3,,
University of Michigan School of Information,SI542,Introduction to Health Informatics,"This course introduces students to the concepts and practices of health informatics.  Topics include:  a) an introduction to the health informatics field; b) major applications and commercial vendors; c) decision support methods and technologies; d) analysis, design, implementation, and evaluation of healthcare information systems; and e) new opportunities and emerging trends.  A semester-long group project is the cornerstone of the course that provides students with hands-on experience in planning and building healthcare information systems; associated ethnical and legal topics, software engineering and human-computer interaction issues, and user adoption and outcome evaluation methodologies will also be addressed.",3,Graduate standing,
University of Michigan School of Information,SI658,Information Architecture,"Everything is complex. Distinctions between physical and digital space are dissolving. Profound events in human culture unfold in places made of and from information.  The architecture of information for a Bay Area startup?s new iOS app, or for a municipal government?s sharepoint portal, or up in the cloud of an ""omnichannel"" enterprise is rarely somebody's specific job.  This course will examine the progression of iA theory and expand students' familiarity with architecture, architects, and architectural and critical theory. In this class you?ll engage in a peculiar and spirited examination of arguments for why it ought to be. You?ll learn how to apply architectural thinking and practices in complex information spaces, and how to design structures that make the complex clear. View syllabus",3,SI 500 or permission of instructor,
University of Michigan School of Information,SI540,Privacy in Information Technology,"This course explores privacy and data protection in information technologies. Students will gain a critical understanding of privacy's role in society and tension between privacy, technology and secure. Students will learn to analyze privacy issues and design privacy-friendly and usable solutions by considering social, technical, legal and public policy aspects. 

The course starts with a historical perspective on privacy and the tensions between privacy, technology and security as well as discourse on aspects affected privacy decisions of individuals. This is followed by an overview of the privacy laws and regulations in the United States and Europe, and other countries or even between sectors. The second half of the course focuses on the design of privacy-friendly systems under considerations of legal and regulatory requirements, technological safeguards and challenges, human factors, and organizational measures,",3,,
University of Michigan School of Information,SI654,Critical Policy Issues in Health IT,This course will introduce the critical policy issues related to the use of Health Information Technologies (HIT) with a primary focus on the U.S. The course will explore issues from both a national perspective as well as teh perspective of organizations that use these system. View syllabus,3,SI 542 or permission of instructor,
University of Michigan School of Information,SI655,Records and Accountability in Modern Society,"Records are the corporate and cultural memory that provide proof of actions and decisions, build a knowledge-base for reflection and learning, and form a perspective on today's society that we will pass on to future generations. As organizations create and maintain more of their records electronically, they are struggling to develop effective policies, systems, and practices to capture, maintain and preserve electronic records.",3,SI 502 or permission of instructor,
University of Michigan School of Information,SI653,Evidence-Informed Decision-Making for the 21st Century Health Care,"Health care organizations and industries have a growing need for information professionals who are capable of leading efforts to integrate health sciences research into clinical decision making.  Health professional training programs also have an expanded interest in training students and practitioners in evidence based health care practice.  In this course, students learn how their professional work can support evidence based health care and knowledge translation initiatives in diverse settings such as academic health science libraries, teaching hospitals, government agencies and health care industries.",3,,
University of Michigan School of Information,SI548,Principles of Software Design for Learning,Students are introduced to the process of designing computer-based learning environments.  Students work in groups to design and prototype learning environments for real classrooms.  Attention is focused on ensuring designs are based upon sound pedagogical theory and that learning environments are embedded into curriculum.,3,601/PREV/CONC,
University of Michigan School of Information,SI549,Transformative Learning and Teaching with Technology,"What role does technology play in high-performance learning and teaching environments?  What are the most common mistakes schools, parents, and communities make when integrating technology into learning and teaching?  How does policy at the federal, state, local, and institutional level affect what is possible with technology?  We will explore the answers to these questions in this class as we examine ways technology has been used successfully (and not so successfully) in a variety of educational contexts.  Students are encouraged to develop critical perspectives about the uses of technology for learning and teaching. View syllabus",3,,
University of Michigan School of Information,SI719,"Knowledge/Power/Practice in Science, Technology, and Medicine","The graduate seminar provides a comprehensive introduction to the major themes and issues in the field of Science and Technology Studies (STS, or S&TS). Drawing on scholarship in history, sociology, anthropology, and information studies, we will mix theoretical material with more empirically oriented studies.  The course will focus particularly on the relation between social, political, and cultural contexts and the development of ideas, practices, tools, and objects within science, technology, and medicine.  While some background in science, technology and/or medicine is helpful, this course does not require prior training in the field.  Work for the seminar will include reading approximately 300 pages per week. View syllabus",3,Graduate standing and permission of instructor.,
University of Michigan School of Information,SI485,Information Analytics Project,"Advance project course for the Information Analytics Path. Students will apply skills learned in the Path to create a data-centered project that includes requirements analysis, data manipulation and analysis, and evaluation needs of a client. Example project settings include: analyzing customer/user interaction data for a commercial enterprise; constructing new datasets for business intelligence; or applying large-scale predictive analytics to improve a business or educational outcome. View syllabus",4,,SI 330 & 370 & 405 & 425
University of Michigan School of Information,SI620,Collection Development and Management,"Introduces principles and issues of collection development and management. Considers evaluation criteria, resources and procedures for selecting and acquiring information products in all formats (print, audiovisual, electronic, etc.). Includes collection policies; collection description, evaluation, maintenance and preservation; document delivery, vendor plans, fund allocation, intellectual property and resource sharing. View syllabus",3,SI 500,
University of Michigan School of Information,SI860,Research Methods Course in Experimental Methods,View syllabus,3,SI 840 and a doctoral course in an area of specialization or permission of instructor,
University of Michigan School of Information,SI649,Information Visualization,"Topics include data and image models, multidimensional and multivariate data, design principles for visualization, hierarchical, network, textual and collaborative visualization, and visualization pipeline, data processing for visualization, visual representations, visualization system interaction design, and impact of perception. Emphasizes construction of systems using graphics application programming interfaces (APIs) and analysis tools. View syllabus",3,"SI 582, 601, 618 and 622 are strongly encouraged. EECS 493 or graduate standing and (C or better) or equivalent.",SI 539 or 543
