"job_title","company","location","job_summary"
"PHP Developer","SCUF Gaming International, LLC","Suwanee, GA","SCUF Gaming International, LLC, a rapidly growing Gaming Technology Company located in Johns Creek/Suwanee, is seeking a PHP Developer to assist in producing web and internal applications.The Company is seeking a flexible/adaptable self-starter with experience and knowledge working with Magento and has a thorough understanding of e-commerce that will convert to our brand design. Your primary focus will be developing and maintaining our Magento website and assist other developers with implementing modifications needed to achieve an optimal performing website.Job ResponsibilitiesIntegration of user-facing elements developed by front-end developersBuild efficient, testable, and reusable PHP modulesSolve complex performance problems and architectural challengesIntegration of Magento with internal systemsUpdating website with new products, options, and pagesJob RequirementsBachelor's degree in Computer Science or related field and at least 5 years of relevant work experience. Consumer electronics experience and/or interest in gaming would be a significant plusStrong knowledge of PHP web frameworksExperience working with Magento requiredBasic understanding of front-end technologies such as JavaScript, HTML5, and CSS3Understanding fundamental design principles behind a scalable applicationStrong organizational and problem-solving skillsA flexible/adaptable self-starter with common sense, able to prioritize while multi-tasking and with the ability to work independently as part of a teamProven ability to communicate clearly, effectively and tactfully. Strong verbal and written skillsProven ability to maintain composure and focus on the job in a work environment demanding flexibility and a sense of urgency in completing required problem resolution, tasks, and projects, while juggling priorities on multiple tasks with specified time framesAbility to collaborate with a cross-cultural team of passionate web development professionalsThis position is a full-time role, has a competitive base salary and is bonus eligible. The Company offers a broad range of benefits, including a 401K plan with matching program.If interested, please submit resume with cover letter and stated salary requirements. Seeking local candidates only.SCUF Gaming is an Equal Opportunity Employer who participates in e-Verify and is a Drug-Free Workplace.Job Type: Full-time"
"Software Developer","Citynet","Charleston, WV","Position Summary: Citynets Software Development division is looking for an exceptional ColdFusion developer to join our team. If you are an experienced developer with a strong background in data driven applications for the web, who enjoys challenging, fast-paced projects  keep reading!Our software developers are responsible for completing a wide array of projects. These include designing, developing, and providing support for new software applications, modifying existing applications for both our internal systems and our customers.Locations: Morgantown, WVCharleston, WVBridgeport, WV (HQ)Westerville, OHResponsibilities include: Design and develop new solutions for customersSupport existing systemsMonitor and manage server logsProactively seek methods for improving applications and processes.Monitor and improve system performance, efficiency, and availability.Improve professional skillset and efficiencyOther duties as assigned.Minimal travel for client meetings and to other Citynet offices may be required.Skills and traits of our ideal candidate: Bachelors degree in Computer Science (or equivalent experience.)Strong technical skills in web development languages and scripting with 2+ years of experience inColdFusion (or 3+ years of experience building complex web apps in PHP or Ruby)HTML/CSSJavaScript (jQuery)OOPUnderstanding of application development and database design.Must have exceptional problem solving skills.Able to manage and organize multiple priorities.Strong sense of team. Understands the importance of standardization and team dynamics.Ability to communicate effectively, both in writing and verbally.Our Environment and Tools: Adobe ColdFusion 10 and LuceeMicrosoft SQL Server 2012Adobe Creative SuiteColdFusion BuilderSublime TextSVNJob BenefitsCompetitive wage401KMedical/Dental/Vision InsurancePaid Time OffReferral Incentive PlanJob Type: Full-time"
"APG Software Engineer - Clearance Required","CyOne, Inc.","Aberdeen, MD","CyOne is looking for a mid to senior software or integration engineer to help us grow our profile in the Aberdeen, MD area and to interact with our software engineers in Austin, TX. We have several ongoing projects with defense agencies at APG using new technologies, including Mongo and ElasticSearch. Please contact us if youd like to help push the envelope and breathe new life into existing defense solutions.A security clearance at the SECRET or higher level is required.Specific skills of interest include: C#, Java, MongoDB, ElasticSearch, Docker, DataModels, SQLCyOne is a progressive company with locations in Aberdeen, MD and Austin, TX. We have top notch healthcare benefits and use Betterment as our 401K provider. Company owners actively work projects and have strong engineering backgrounds. Check out our website, http://www.cyone.com, to learn more about us.Job Type: Full-timeJob Location:Aberdeen, MDRequired education:Bachelor'sRequired experience:Software Engineering: 5 years"
"Software Engineer","Future Technologies, Inc.","Alexandria, VA","Position:  Software Engineer, Supporting US Intelligence CommunityLocation:  Alexandria, VADuties: - Develop, modify, and maintain complex programs- Design and implement the interrelation of files and records within programs that will effectively fit into the overall design of the project.- Work with problems or concepts and developing programs for the solution to major scientific computational problems requiring the analysis and development of logical or mathematical descriptions of functions to be programmed.- Develop occasional special programs (e.g., a critical path analysis program to assist in managing a special project).- Test, document, and write operating instructions for all work; confers with other EDP personnel to secure information; investigates and resolves problems; and coordinates work efforts.- Work independently under overall objectives and direction, apprising the supervisor about progress and unusual complications and modifying and adapting precedent solutions and proven approaches; guidelines include constraints imposed by the related programs with which the incumbents programs must be meshed.- Review completed work for timelines, compatibility with other work, and effectiveness in meeting requirements.- Function as team leader or supervise engineers and technicianQualifications:  - At least a bachelor's degree in computer science.- At least 6 years of experience in related field involving software innovation, changes, and upgrades of major security systems.- A current TS/SCI security clearance. Must be a U.S. citizen.Job Type: Full-timeRequired education:Bachelor's"
"Software Engineer II","Connexion Point","Salt Lake City, UT 84107","A Software Engineer, Level II has expertise in software architecture,design, and development. They interface closely with functional team members ensuring the quality of a given project or product and are responsible for the development of a wide array of software and systems at Connection Point. All members of the Software Engineering team strive for the highest standards of technological excellence; however, Software Engineer II's along with the Senior Software Engineers also act as mentors and are always working toward the advancement of team members in technical knowledge,skill, and work quality.ResponsibilitiesWorks closely with Project Owners and functional teams to analyze specifications in order to estimate time, design, engineer, test, deliver and maintain software components and applications.Demonstrates solutions by developing documentation, flowcharts, layouts, diagrams,charts, automated tests, as well as clear and concise code.Improves operations by conducting systems analysis and recommending changes to policies or procedures.Evaluates and resolves software defects and technical problems reported in applications and components.Participates in a peer-review cycle by submitting completed software enhancements and defect solutions to be evaluated for code standards and defects, functional testing and validation of software enhancements and solutions against original specification.Participates in a peer-review cycle by evaluating completed software enhancements,products, and defect solutions for code standards and defects, performing functional tests,and validating software enhancements and solutions against original specification.Periodically responsible for the organization and facilitation of software releases; preparing release informational documents, performing merges, and observing release execution during release operations.Periodically be available after normal working hours to perform duties such as addressing automated task failures, defect resolution, and deployments.Required QualificationsBS (4-year degree) in Information Systems or related discipline plus 2additional years professional experience OR equivalent professional experience.Proficiency in PHP, MySQL,HTML, and Javascript.Proficiency in at least one (1)additional software programming languages such as Java, C#, Python or other similar language (s).Proficiency in source-control management systems such as SVN or GIT and related work flow processes.Proficiency in Scrum/Agile/XP.Proficiency in software,systems, and database architecture including common design patterns,best practices, and theory.Fundamental knowledge of*nix systems administration and in administering and configuration of apache and related systems on platforms such as Mint, Ubuntu, and BSD variants.Preferred Qualifications Server Administration experience with emphasis on*nix-based platforms like Mint, Ubuntu, and/or BSD.Database Administration experience which may include Data Warehousing and/or experience with Hive/Hadoop or similar technologies.Experience with SaaS architectures as well as RESTful and/or SOAP http communications methodologiesRequired education:Bachelor'sRequired experience:Software Engineering: 6 years"
"Software Engineer","Medicomp","Melbourne, FL","About Us: Medicomp is a successful, profitable, and quickly growing cardiac monitoring company specializing in electrophysiology diagnostics with a 35-year history of innovation and superior technology. Last year we helped over 100,000 patients in over 12 countries and have multiplied our business by 5 times over the last 10 years. We operate 3 cardiac monitoring centers in Melbourne, FL, Burtonsville, MD and San Francisco, CA.Requirements: 6 + years of programming in C# / ASP.Net with a minimum of .NET 3.0 (4.0 preferred)3 + year(s) of experience using one or more of the following:Net Web API, REST, WCF, etc.Entity FrameworkMVCJavaScript, JQuery, and Knockout JSCSS3/HTML5Responsive web design5 + years of experience with SQL ServerKnowledge of design patterns a plus.Knowledge of FDA Design Controls a plus.Knowledge of Smart Client Software Factory is a plus.Bachelor's Degree in Computer Science, Electrical Engineering, or equivalent.Software EngineerThis role will include a wide variety of responsibilities, including Development using C# and ASP.Net with a Microsoft SQL Server backend; web APIs using REST, WCF and web services; defining, designing, building, maintaining/enhancing, and testing new products for Medicomp according to schedule; Support our Cardiac Monitoring Center (CMC); Manufacturing, Sales and Marketing as required; become knowledgeable about the Medicomp Quality System Manual; conduct activities in accordance with FDA Design Controls; and working with Google and Microsoft Apps with SVN for source control.Job Type: Full-timeRequired education:Bachelor'sRequired experience:Java: 4 yearsC#: 6 yearsRequired license or certification:Authorization to work in the U.S without sponsorship"
"Hadoop Developer","Inspur Worldwide Services","Bellevue, WA","Inspur has partnered with Indeed Hire in search of their next Hadoop Developer. This is a full time-permanent position based in Seattle, WA.Summary Description: As a Big Data Core developer for Hadoop, you will work in open source Hadoop development and own one of the core component  HDFS, YARN, MapReduce or HBase or other components. You will involve in the open source community to develop and extend these component features, contributing work and codes. You will become the technology expert on the component you own. You will help other team members to use the component and optimize performance.Job Duties: Connect and involve with the Hadoop open source community for one or more components: HDFS, YARN, MapReduce or HBase and othersDevelop design and codes for additional features to enhance the components or ecosystems.Tune and optimize performance to improve the componentStrong hands-on experience on at least one of the programming languages: C/C++/Java/C#/Scalar.Deliver the codes with high quality, including proper design review, unit testing, integration testing.Ability to research and assess open source technologies and components to recommend and integrate into the design and implementationWork with multiple teams to collaborate on design dependenciesEnsure the platform goes through Continuous Integration (CI) and Continuous Deployment (CD) with DevOps automationRequired Experience: Bachelors degree in Computer Science, Information Systems or other related fieldFive years of work experience as developer. A minimum of three years of work experience developing Product or Tools with C/C++, or Java/C#Strong plus if participate in open source community as code contributorStrong plus if has big data tools development experienceStrong plus if have cloud development experience in AWS, Azure or other public and private cloud environment.Required Technical Skills: Strong collaboration skills with open source developersStrong C, C++, or Java/C# or Scala development experienceExperience following the Software Development Lifecycle, preferably agileUse of version control systems such as Git or SVNJob Type: Full-timeJob Location:Bellevue, WARequired education:Bachelor'sRequired experience:Product or Tool development with C/C++ or Java/C#: 5 yearsusing version control systems such as Git or SVN: 5 yearsHadoop Development: 5 yearsRequired license or certification:Authorization to work in the U.S. without sponsorship"
"Engine Programmer","Avalanche Studios","New York, NY","Indeed Hire is partnering with Avalanche Studio's to find an experienced Engine Programmer to be a key contributor to our New York studio. At Avalanche Studios you will work with some of the industrys most exciting technology and talented individuals. We have a solid reputation for producing fantastic looking open-world games and this is a great opportunity if you want to play an instrumental role on a small team developing our next-generation engine. You will be a part of a small team responsible for designing, developing and maintaining many aspects of the core engine tech such as streaming, threading, memory management and lower level platform specific technology.Required qualifications5+ years of relevant experienceExpert in C/C++In-depth knowledge of game engine architecturesIn-depth knowledge of next generation console architectures and future architectural trendsExperience with a wide range of game level systems, including scene management, physics, animation, AI, rendering, etc.Experience with a wide range of tools and pipelines used in modern game development.Self-motivated, strong work ethic, able to work independentlyGood communication skills and thrives as a member of a teamAvalanche Studios is developing for PS4, XBox1, PC.To apply for this position please register below with a detailed resume and cover letter. Apply as soon as possible as we review applications continuously. All further information is provided under non-disclosure agreement only. All applicants are required to relocate to work full-time in New York City.Job Type: Full-timeJob Location:New York, NYRequired education:Bachelor'sRequired experience:AI: 5 yearsprogramming: 5 yearsC/C++: 5 yearsrendering: 5 yearsgame engine architecture: 5 yearsanimation: 5 years"
"Java Developer","McLeod Software","Birmingham, AL","McLeod Software is the leading developer and provider of transportation management software to trucking and freight brokerage companies in the United States. We are highly respected within the transportation industry, and are growing again! We believe that investing in people who have a natural desire to learn and grow is one of our greatest competitive advantages. Each person has an opportunity to contribute directly to the Company's growth and success - and we look for individuals who take pride in doing that. We invite you to visit our website at www.mcleodsoftware.com.Essential Duties and Responsibilities: Responsible for writing Java code for new and existing applications and products, and supporting existing customer installationsResponsible for quality code, effective testing and production solutionsDevelop technical specifications from functional specificationsSupport QA in resolving issues by reproducing, diagnosing and analyzing the root causeDesired Skills:Familiarity with Eclipse, ANT and CVSFamiliarity with Relational Database Management Systems to include Microsoft SQL Server, Oracle and DB2Experience using Tomcat, JSP, JSF, EDI, Mobile Communications, GPS positioning and Fuel experienceRequirements: Bachelors Degree preferred or equivalent experience4 years of software development experienceExcellent debugging skillsGood communication and interpersonal skills are important, as you will have opportunities to interact with customers and organizational leaders frequentlyMcLeod Software does not discriminate in employment opportunities or practices on the basis of race, color, religion, sex, national origin, age, disability, or any other characteristic protected by law. We are an equal opportunity employer. We participate in E-VerifyJob Type: Full-timeJob Location:Birmingham, ALRequired education:Bachelor'sRequired experience:C++: 1 yearJava: 1 year"
"Software Applications Engineer","Retail Velocity","Ann Arbor, MI","Position Title: Software Applications EngineerLocation : Ann Arbor, MichiganPurpose : Provide implementation and consulting support of our enterprise software application, Velocity, across multiple projects, work individually and with our developers, project managers, customers, IT staff and users.Company Background : Retail Velocity (VMT) is an established and growing software developer of an enterprise application that provides data warehousing and business analytics to the consumer goods and retail industries. Our mission is to improve sales and eliminate supply chain inefficiencies through strategic technology and the application of decades of retail experience. We offer a flexible work environment, competitive pay and benefits.Website:  www.retailvelocity.com.Required Qualifications: Bachelors Degree, preferably in Information Science, Statistics or Logistics related fieldStrong knowledge and skills deploying scalable database applicationsDesire to work in a multi-disciplinary, rapid-paced team environmentExcellent organization, documentation and communication skillsAbility to work independently with minimum supervisionStrong interpersonal skills; ability to work with team members, customers and users to understand complex requirements and offer creative innovative solutionsAdditional Desired Skills: Experience developing with SSAS, Sharepoint, Performance Point, Install Shield2+ years of experience developing, deploying and supporting Microsoft technologies, including SQL Server, Transact-SQL, SSRS, and .Net web applications supporting relational databases and data warehousesMicrosoft certifications in database or BI disciplinesExperience with EDI or ETL technologiesInnovative, creative, detail oriented, problem-solverAbility to troubleshoot difficult problemsCommitment to constant quality improvementPrimary DutiesDesign and implement business rules and application support functions using Transact-SQL procedures, triggers and functions.Design and implementation of creative database and web application solutions using Microsoft technologiesDesign and manage customer reporting solutionsDeploy and manage scalable database solutionsDevelop and maintain our quality assurance testing operationsOther tasks as assignedFLSA Classification:  Exempt Salaried PositionReporting Manager : Director, Customer Acct RelationsJob Type: Full-timeRequired education:Bachelor'sRequired experience:SSAS, Sharepoint, Performance Point, Install Shield: 1 year"
