department,code,title,description,credit,advised_requisite,link
b'AEROSP',b'450',b' Flight Software Systems ',"b'Theory and practice of embedded flight software systems.  Computational theory topics include discrete mathematics, finite automata, computational complexity, and model checking.  Software development concepts include object-oriented programming, networks, multi-threaded software, real-time scheduling, and sensor/actuator interface protocols.  Emphasis placed on C/C++ development in Linux with guidance, navigation and control applications.'",3,"b'Preceded by ENGR 101 and AEROSP 201, or graduate standing.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AEROSP450001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AEROSP',b'483',b' Aerosp System Design ',"b'Introduction to the engineering design process for space systems. Includes a lecture phase that covers mission planning, launch vehicle integration, propulsion, power systems, communications, budgeting, and reliability. Subsequently, students experience the latest practices in space-systems engineering by forming into mission-component teams and collectively designing a space mission. Effective team and communication skills are emphasized. Report writing and presentations are required throughout, culminating in the final report and public presentation.'",4,"b'Preceded by AEROSP 347.  Preceded or accompanied by AEROSP 315, 325, and 335.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AEROSP483001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AEROSP',b'518',b' Thry Elastic Stab I ',"b'Concepts of stability and bifurcation. Simple examples to illustrate buckling and instability mechanisms in structures. Both equilibrium and time dependent problems discussed. General theory for stability in continuum, conservative elastic solids. Applications to bars, rings, plates and shells.'",3,b'AEROSP 315/MECHENG 412/equivalent.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AEROSP518001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AEROSP',b'525',b' Intr Turbulent Flow ',"b'Mathematical description of turbulent flow phenomena. Flow equations, vorticity dynamics, Reynolds-averaged equations, engineering turbulence models. Theory of homogeneous turbulence, spectral dynamics. Shear flow turbulence, mean and fluctuating structure of free and wall-bounded turbulent flows.'",3,b'AERO 522.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AEROSP525001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AEROSP',b'527',b' Unsteady Aerodynamics and Aeroacoustics ',"b'Theoretical and numerical aspects of unsteady aerodynamics and aerodynamically-generated noise. Topics include vortex dynamics, steady and unsteady airfoil theory, indicial methods, unsteady compressible flow, basics of physical acoustics, sound generation by moving bodies and turbulence, combustion noise.'",3,b'AEROSP 325 or equivalent or permission of instructor.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AEROSP527001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AEROSP',b'530',b' Gas-Turbine Propulsion\r\n\r\nAdvanced analysis of turbojet engines ',b'Advanced analysis of turbojet engines: effect of altitude parameters on engine performance; off-design equilibrium running of a turbojet engine; dynamics of engine considered as a quasi-static system; fluid mechanics of a rotating axial blade row; centrifugal compressors; transonic flow problems.',3,b'AERO 335.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AEROSP530001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AEROSP',b'532',b' Molecular Gad Dynamics:\r\n\r\nAnalysis of basic goals gas properties at the molecular level.  Kinetic theory ',"b'Analysis of basic gas properties at the molecular level. Kinetic theory: molecular collisions, the Boltzmann equation. Maxwellian distribution function. Quantum mechanics: the Schrodinger equation, quantum energy states for translation, rotation, vibration, and electronic models of atoms and molecules. Statistical mechanics: the Boltzmann relation, the Boltzmann energy distribution, partition functions. These ideas are combined for the analysis of a chemically reacting gas at the molecular level.'",3,b'Permission of instructor.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AEROSP532001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AEROSP',b'543',b' Structural Dynamics ',b'Natural frequencies and mode shapes of elastic bodies. Nonconservative elastic systems. Structural and viscous damping. Influence coefficient methods for typical flight structures. Response of structures to random and shock loads. Lab demonstration.',3,b'AEROSP 315.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AEROSP543001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AEROSP',b'544',b' Introduction to Aeroelasticity ',b'Introduction to aeroelasticity. Vibration and flutter of elastic bodies exposed to fluid flow. Static divergence and flutter of airplane wings. Flutter of flat plates and thin walled cylinders at supersonic speeds. Oscillations of structures due to vortex shedding.',3,b'AEROSP 315.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AEROSP544001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AEROSP',b'550',b' Linear Systems Theory ',"b'Linear spaces and linear operators. Bases, subspaces, eigenvalues and eigenvectors, canonical forms. Linear differential and difference equations. Mathematical representations: state equations, transfer functions, impulse response, matrix fraction and polynomial descriptions. System-theoretic concepts: causality, controllability, observability, realizations, canonical decomposition, stability.'",4,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AEROSP550001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
