department,code,title,description,credit,advised_requisite,link
b'AMCULT',b'433',b' Made in Detroit: A History of Art and Culture in the Motor City ',"b'\n\n\n\nThe embodiment of ""Modern Times"" was the assembly line and Detroit, dubbed ""the capital of the Twentieth Century"" played an important symbolic role in the modern imagination. Yet while  artists depicted Detroit\'s industry as an abstract emblem of twentieth century progress \xe2\x80\x94 and later of dystopian decline \xe2\x80\x94 the city has a complicated labor, racial, and political history that makes it and its art different from that of any other place. \r\n\r\nThis seminar examines how Detroit has been presented in modern art, and the role that the arts and architecture have played in the city from the 1880\'s to the present. We will consider both works produced in Detroit that defined technology and urban culture for the world, and those that have particular local histories from the sleek factories that heralded modern architecture in America to the artificial past that Henry Ford assembled at Greenfield Village, from the heroic worker figures of Diego Rivera\'s murals to the controversies surrounding the Joe Louis monument and the Heidelberg Project, from \xe2\x80\x9cruin porn\xe2\x80\x9d and gentrification to prospects for the future. Students are encouraged to attend two day-long field trips which will include a visit to the exhibition \xe2\x80\x9cDiego Rivera and Frida Kahlo in Detroit\xe2\x80\x9d at the Detroit Institute of Arts. \r\n\r\n\r\nRequired texts  (also on reserve) will include Terry Smith, Making the Modern; F. W. Taylor, Principles of Scientific Management; Karen Lucic, Charles Sheeler and the Cult of the Machine;\r\nThomas Sugrue, The Origins of the Urban Crisis; Walter Gropius, The New Architecture and the Bauhaus.\r\n\r\n\r\n HISTART category for concentration distributions: D. Europe and the United States, 4. Modern and Contemporary. Course Requirements:Informed participation in class discussion, brief response papers based on ambitious assigned readings and questions; a research paper prepared in stages throughout the semester.Intended Audience:some background in art history, design, American studies, history, or urban studies is recommended; a commitment to learning more about Detroit is essential.  \r\n\r\nPermission of instructor required. Please email rzurier@umich.edu to learn more about the class.Class Format:Seminar'",3,"b'Upperclass standing; prior coursework in Art History, U.S. History, American Culture, or Urban studies, and permission of instructor.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AMCULT433001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AMCULT',b'462',b' The American Revolution ',"b""An intensive course on the background to the Revolution, its \r\nprogress, and the changes it wrought in American life. Emphasis on  America's mid-18th-century socioeconomic transformation, Britain's \r\nreorganization of her empire in the 1760s and 1770s, colonial  opposition, and the emergence of a uniquely American ideology.\r\nSubsequent topics include the progress and dislocations of the \r\nmilitary conflict, the attempt at confederation, and the culmination  of the Revolutionary movement in the iteration and early development  of the Constitution and Bill of Rights.""",3,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AMCULT462001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AMCULT',b'498',b' Capstone Seminar in American Culture ',"b'This is a course of many questions. Who \xe2\x80\x94 and what \xe2\x80\x94 is college for, in our diverse, unequal democracy?\nHow does college admissions really work? What are the rituals of ""getting in""? How have people worked and fought for?educational opportunity in the US? How do students challenge and change the colleges they attend, through pressure, protest, and experiment?\nWhy have Americans invented so many different kinds of colleges? Who pays for higher education? Why do campuses look the way they do? How are today\xe2\x80\x99s students approaching the college-to-life transition? What kind of citizens do they become? What role will they play in national debates on higher education?\nWe will grapple with these questions through collaborative inquiry that builds advanced analytical, investigative, writing, speaking, and civic skills. These skills will emerge from vigorous reflection on pathways to educational opportunity, the exchange of research findings based on close encounters with scholarship and the archive, site visits to different kinds of colleges, guest presenters on entrepreneurship and \xe2\x80\x9cnontraditional\xe2\x80\x9d students, plus a \xe2\x80\x9cbicentennial special\xe2\x80\x9d project with U-M alumni.\nThere are six major themes in the course:\r\nEducational Narratives and Self-Authoring: Your Story in Context\r\nGetting In: How Pathways Work\nFull Participation: Inclusion, Equity, and Diversity\nCampus as Place: Reading the College Landscape\nHigher Ed Change: Student Leadership and Public Debates\nAfter College, What?: College, Career, CitizenshipCourse Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",4,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AMCULT498001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AMCULT',b'498',b' Capstone Seminar in American Culture ',"b'What scenes and fantasies are conjured by the word \xe2\x80\x9cexotic""?  The Mystic East?  The Orient?  Pacific Beaches and Tiki Bars?  The writer Alden Jones explains, ""Exoticism, the \'charm of the unfamiliar,\' is a concept that might be applied to anything \xe2\x80\x94 a rainforest flower, a skyscraper, a person of any ethnicity \xe2\x80\x94 depending on who is beholding it and how unfamiliar it is to them.""  In other words, \xe2\x80\x9cexotic\xe2\x80\x9d doesn\xe2\x80\x99t describe a quality or characteristic of  something, but rather, describes a way of seeing, a gaze. This course begins with this idea, and investigates what role exoticism has played in American literature, art, and music.\nWhat is the relation between exoticism and American empire?\nWhat have \xe2\x80\x9cexotic\xe2\x80\x9d things and places signified for Americans at various points in the nation\xe2\x80\x99s history?\nWhy and when do certain regions \xe2\x80\x94 like Asia, the Middle East, and the Pacific Islands \xe2\x80\x94 evoke exotic fantasies for Americans?\r\nIn investigating these questions, the course examines broader questions about race, ethnicity, sexuality, and difference as viewed through the lens of exoticism. Course readings will include novels, films, and other media.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",4,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AMCULT498002&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AMCULT',b'498',b' Capstone Seminar in American Culture ',"b'As its literature attests, Hawai\xe2\x80\x98i is simultaneously the uniquely multicultural fiftieth state of the Union, a colonial outpost, and the disputed sovereign nation of native Hawaiians.  As might be expected, the literature of Hawai\xe2\x80\x98i is a highly contested terrain ranging from works by native Hawaiian writers, \xe2\x80\x9clocal\xe2\x80\x9d writers, and works by \xe2\x80\x9cforeigners.\xe2\x80\x9d  This course allows students to read and study the literary and oral traditions of Hawai\xe2\x80\x98i, including works by writers of native Hawaiian, Chinese, Puerto Rican, Japanese, Filipino, and Korean descent, through competing paradigms which place Hawaii\xe2\x80\x99s literatures and cultures within the historical, social, and political contexts of western imperial expansion, globalization, Asian American literature, and the native Hawaiian movement toward autonomy and self-determination.  The literatures of Hawai\xe2\x80\x98i have been and can be read through these frameworks as well as how they also problematize and contest these categories.  We will examine dominant representations of the islands by Melville, London and Twain as well as contestatory representations by \xe2\x80\x9clocal\xe2\x80\x9d writers such as Balaz, Holt, Trask, Murayama, Pak, Yamanaka, Zamora Linmark and Cobb Keller.  The course will also contextualize these authors within the broader critical paradigms of mainland Asian American literature as well as Pacific Island literatures.Course Requirements:Midterm paper, Final research paper, presentationsIntended Audience:Upperclass standingClass Format:Seminar'",3,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AMCULT498003&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AMCULT',b'498',b' Capstone Seminar in American Culture ',"b'Tourism is both a mode of travel and a highly profitable industry that markets places, experiences, and cultures as commodities to be consumed. In this course, we will look at how tourism developed in the United States through the eyes of tourists and through the ways sites are packaged and sold as destinations. By exploring both historical and contemporary dimensions of tourism \xe2\x80\x94  including the marketing of the Southwest and the emergence of touring infrastructure in the form of hotels, motels, and national parks \xe2\x80\x94 this course will focus on the ways in which tourism has been inextricably (and often problematically) linked to leisure, gender and racial identity, and preservation. Likewise, we will ask how tourism shapes spaces, locales, and the individuals who live and work in them.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",4,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AMCULT498004&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AMCULT',b'498',b' Capstone Seminar in American Culture ',"b'How did an entire century\xe2\x80\x94the twentieth century\xe2\x80\x94supposedly belong to one nation-state, the United States of America? In this course we will explore how and why the United States became the leading military, economic, and diplomatic power in the world. We will trace the geo-political ascendance of the United States and its consequences on the lives and experiences of people both domestically and abroad. We will take a more global approach to the history of U.S. foreign relations, exploring\xe2\x80\x94from the end of the nineteenth century to the current moment\xe2\x80\x94not only how the United States affected the world, but also how the world affected the United States. Moreover, we will consider America in the long twentieth century not only as a geo-political entity, but also as a historical place from which to examine global histories of power, violence, and difference. Finally, this course will interrogate the legacies of the \xe2\x80\x9cAmerican Century\xe2\x80\x9d in the new millennium.Course Requirements:Reading and Writing.Intended Audience:Juniors and SeniorsClass Format:Seminar'",4,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AMCULT498005&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AMCULT',b'504',b' American Immigration: Sociological Perspectives ',"b'Both the study of immigration and the questions that study raises are at the very root of social science. In this course we survey the literature that gives evidence of the major concepts, questions, and approaches which sociologists have used to study immigration, as well as the interface between immigration, race, and ethnicity in America. In this seminar, we will seek to focus each session on a different topic, such as the origin of ethnic stratification, race, and racism; the contrasting theoretical explanations of assimilation and internal colonialism for the reality of group differences in social outcomes in America; the different levels of analysis, micro vs. macro approaches to immigration; the causes and consequences of the differential incorporation of immigrants in American society; political vs. economic immigrants as different social types; middleman minorities vs. the ethnic enclave vs. the ethnic economy as models of immigrant adaptation; women and migration; and social networks and gender as the link between micro and macro levels of analysis.Course Requirements:The goal of this seminar is for each student to work on a paper on a topic of his or her own choosing that relates to immigration, race, and ethnicity. If done well, such a paper could be used as the basis for a dissertation prospectus. The research paper might also be further developed into a publishable paper while in graduate school. If polished enough, it could be used to send away for external funds from a foundation. \r\nAs a seminar, the informed participation of class members is essential, and will be taken into account for the final grade. Each student will be responsible for providing written comments for the two first drafts to one other student in class, as well as for his or her own final research prospectus. Each student will also be responsible for presenting three or four of the readings in the syllabus to the class, bringing in a handout summarizing the work for everyone in the class.'",3,b'Graduate standing; seniors with permission of instructor.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AMCULT504001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AMCULT',b'601',b' Topics in American Studies ',"b'This course provides an introduction to the literature of American history, with an emphasis on chronological breadth, thematic diversity, important foundational texts, and key methodological and theoretical innovations in recent scholarship. The course is not designed to cover every important debate in U.S. historiography, nor is it possible to present a comprehensive portrait of five centuries of history on the North American continent. Rather, it is organized around a series of critical historical episodes and historiographical debates, with each session devoted to a major book and accompanying articles or a pair of books (usually excerpted). Goals of the course include;\r\n\r\nthe development of critical analytical skills in the assessment of historiographical and methodological trends, especially beyond your particular chronological specialization and subfield(s) of interest,\nthe acquirement of a basic familiarity and fluency in discussing historical themes and scholarly debates that have shaped this profession,\nan introduction to key texts that should be a staple of reading lists for preliminary exams, especially since the department requires one of your fields to span the chronological divide between early and late U.S. history, and\na collective experience that fosters intellectual community among members of the entering Americanist cohort of 2015.Course Requirements:No data submittedIntended Audience:AMCULT 601.001/HISTORY 611 is a core requirement for all first-year graduate students in American history, and the seminar is open to students in Anthro/History, American Culture and other related fields.Class Format:No data submitted'",3,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AMCULT601001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AMCULT',b'601',b' Topics in American Studies ',"b'Anthropologist Sherry Ortner once observed per Marshall Sahlins\xe2\x80\x99s aphorism, \xe2\x80\x9cWhatever Happened to \xe2\x80\x98Late Capitalism\xe2\x80\x99?/It became neo-liberalism,\xe2\x80\x9d that around the year 2000 academic conversations effectively substituted \xe2\x80\x9cneoliberalism\xe2\x80\x9d for \xe2\x80\x9clate capitalism.\xe2\x80\x9d Ortner\xe2\x80\x99s observation implies that \xe2\x80\x9cpostmodernism\xe2\x80\x9d as an object of theoretical inquiry also was subsumed under the moniker of the neoliberal. As critics have experimented with engaging \xe2\x80\x9cpost-Fordist affect,\xe2\x80\x9d \xe2\x80\x9cpost-postmodernism,\xe2\x80\x9d et cetera, most have had to concede pace Michel Foucault that the implementation of neoliberal doctrine depends upon the hybridization of the aesthetic and the economic. In this seminar, we will address site-specific and time-sensitive aesthetic-economic joins by considering the other millennial pairing of the global and the neoliberal. Just as critics once pluralized modernities, we generally will think the global as an umbrella category, while also engaging particularly neoliberal doctrines in the context of the Americas. Intended to function as an introduction to two keywords often cited generically in trans/disciplinary conversations, no prior theoretical experience or engagement with the \xe2\x80\x9cneoliberal\xe2\x80\x9d and the \xe2\x80\x9cglobal\xe2\x80\x9d is necessary for seminar participants. Key texts in our discussions in all likelihood will include Foucault\xe2\x80\x99s The Birth of Biopolitics, Lauren Berlant\xe2\x80\x99s Cruel Optimism, Claudia Rankine\xe2\x80\x99s Citizen, Paul Chan\xe2\x80\x99s Waiting for Godot in New Orleans, Jo\xc3\xa3o Biehl\xe2\x80\x99s Vita: Life in a Zone of Social Abandonment, Alejandro Gonz\xc3\xa1lez I\xc3\xb1\xc3\xa1rritu\xe2\x80\x99s Biutiful, and Mohamedou Ould Slahi\xe2\x80\x99s Guant\xc3\xa1namo Diary.'",3,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AMCULT601002&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
