department,code,title,description,credit,advised_requisite,link
b'ANATOMY',b'504',b' Cellular Biotechnology ',"b'Course overview/description:\r\nBiotechnology is a rapidly evolving and highly multi-disciplinary field that impacts nearly every\r\naspect of our daily lives from the food we eat to the medicine we take. This one-semester, 3-\r\ncredit course provides an overview and integration of several disparate disciplines that together\r\ndefine the field of cellular biotechnology. Topics this year will include: (1) commercialization\r\nstrategies and technology evaluation, (2) microtechnologies, (3) fluorescence and FRET, (4)\r\nDNA repair and control of gene expression, (5), protein engineering, (6) translational control\r\nmechanisms and assay development, (7) stem cells, tissue engineering, and regenerative\r\nmedicine, (8) gene editing technologies, (9) immune-bioengineering, and (10) drug delivery, and\r\n(11) regulatory affairs.\r\nEmphasis will be placed not only on the basic scientific and engineering principles behind the\r\ngrowing field of biotechnology, but also on the entrepreneurial aspects of translating innovative\r\nsolutions into new commercial products.\r\nThis course is cross-listed with the Departments of Anatomy; Biological Chemistry; Microbiology\r\n& Immunology; and Biomedical Engineering.Course Requirements:Grading criteria:\r\nStudent performance will be evaluated in three ways:\r\n\n Homework: Brief homework assignments (4) based on lecture content and supplemental\r\nreadings will be given out throughout the semester. 25% of the grade\r\n Class Participation: Attendance, questions asked, and comments made in class will be\r\ntallied by the instructor. 25% of the grade\r\n Projects: The main assignment of this course is a team-based project consisting of\r\nformulating, writing, and presenting an innovative biotechnological solution to a problem\r\nthat is related to, or incorporates, some of the topics discussed in class. \r\n\nStudents will be\r\nassigned to small groups (-5/group). Proposals must be cross-disciplinary in approach,\r\ninclude both business motivation and overview as well as scientific innovation in an NIH\r\nSBIR format. Various milestones will be met through the term to keep groups on track\r\n(more details forthcoming). 50% of the final grade'",3,b'Graduate standing or consent of instructor.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANATOMY504001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANATOMY',b'541',b' Mammalian Reproductive Physiology ',"b'Each Winter Term, the Reproductive Science Program offers a course in Mammalian Reproductive Endocrinology (PHYSIOL 541) which is part of the curriculum of three departments (Physiology, Anatomy, and Psychology).\r\nThis course is a study of the physiological and behavioral actions of reproductive hormones responsible for the regulation of the reproductive systems and behavior. \r\n\r\nTopics include: \r\n\r\nProperties, regulation and action of protein and steroid hormones, neuroendocrine function and feedback regulation, gonads function and development, reproductive maturation (puberty) and senescence (menopause), sexual differentiation of the brain, developmental programming, epigenetics, stress responses, metabolic control, pheromones and sexual behavior, gender and sexuality, fertilization, embryogenesis, pregnancy and parturition, clinical issues of infertility and assisted reproduction.Course Requirements:No data submittedIntended Audience:An introduction to mammalian reproductive physiology for PhD, MS and senior undergraduate students who are considering a career in the biomedical sciences. Prior physiology or behavioral neuroscience courses and biochemistry are required.Class Format:Instruction is via lectures by experts in the fields represented in the course. '",4,"b'MCDB 310 or 311, or BIOLCHEM 415.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANATOMY541001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANATOMY',b'800',b' Special Topics ',b'Special Topics',1,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2080ANATOMY800101&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANATOMY',b'990',b' Dissertation/Precandidate ',b'Dissertation/Precandidate',1,b'Advanced Doctoral student. Election for dissertation work by doctoral student not yet admitted as a Candidate.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2080ANATOMY990101&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANATOMY',b'995',b' Diss-Cand ',b'Diss-Cand',4,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2080ANATOMY995101&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANATOMY',b'800',b' Special Topics ',b'Special Topics',1,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2090ANATOMY800001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANATOMY',b'990',b' Dissertation/Precandidate ',b'Dissertation/Precandidate',1,b'Advanced Doctoral student. Election for dissertation work by doctoral student not yet admitted as a Candidate.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2090ANATOMY990001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANATOMY',b'995',b' Diss-Cand ',b'Diss-Cand',8,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2090ANATOMY995001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANATOMY',b'990',b' Dissertation/Precandidate ',b'Dissertation/Precandidate',1,b'Advanced Doctoral student. Election for dissertation work by doctoral student not yet admitted as a Candidate.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2100ANATOMY990201&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANATOMY',b'995',b' Diss-Cand ',b'Diss-Cand',4,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2100ANATOMY995201&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANATOMY',b'403',b' Human Anatomy:  Structure and Function ',"b'This course offers the basic concepts of human anatomy.  The gross anatomical features of the body systems are presented together with the relevant development, histological, functional, and clinical facts.'",5,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110ANATOMY403001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANATOMY',b'570',b' Human Neuroanatomy I ',"b'Neuroanatomy course and lab provides a systematic survey of the structure of the human nervous system, including major pathways, neurotransmitters, and functions'",3,b'Admission in Anatomy or approval on consultation.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110ANATOMY570001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
