department,code,title,description,credit,advised_requisite,link
b'ANTHRBIO',b'471',b' Research in Biological Anthropology ',"b'This course teaches laboratory and analysis methods in molecular anthropology. Course objectives depend on student level and will be tailored to meet the needs of various skill-sets. For novice students, it will introduce them to the ways in which molecular data are generated and analyzed to answer questions concerning human evolutionary history. Topics will include an introduction to the basic wet-lab assays and analysis methods used to understand molecular evolution and the origin and history of the human species. More advanced students will be expected to execute a project that obtains and analyzes data related to human evolution.Course Requirements:Students will be evaluated on their wet-lab performance, laboratory notebook upkeep, participation in weekly lab meeting, and their final project.Intended Audience:No data submittedClass Format:No data submitted'",1,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRBIO471002&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRBIO',b'471',b' Research in Biological Anthropology ',"b'This course provides technical training in how to carry out research in Biological Anthropology. This semester, the goal of the course will be to situate dietary and locomotor reconstructions of fossil hominoids from different East African sites in their paleoenviromental context in order to evaluate competing hypotheses relating adaptation to selective forces.  Students will thus be involved in collection and comparative analysis of morphological data (e.g. dental shearing crests, cortical and trabecular structural properties in long bones) and paleonenvironmental data (e.g. stable isotopic sampling of tooth enamel of primates and other herbivores).  Students will be expected to work together to generate primary data and contribute to a collaborative publication.  The course emphasizes project development, hypothesis generation and testing, data collection and analysis, and writing.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",1,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRBIO471003&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRBIO',b'472',b' Human Nature ',"b'We will read and discuss the important new book:  Human Social\r\nEvolution:  The Foundational Works of Richard D. Alexander.  \r\n\r\n\r\nSpecies covered range from insects, to naked mole rats, to humans.\r\nTopics include Cooperation, Intergroup Competition,  Eusociality,\r\nParent-offspring conflict, Biology/Culture interface, Kinship,\r\nIndirect Reciprocity, Intelligence, Morality, Humor, Religion, and the\r\nArts.Course Requirements:No data submittedIntended Audience:Prior\r\nbackground in evolutionary theory is required.Class Format:No data submitted'",2,b'ANTHRBIO 467.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRBIO472001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRBIO',b'475',b' Evolution of Genus Homo ',"b'Evolution of Homo sapiens from its Australopithecine ancestor, and the appearance of modern humans and the development of human variation, are the focus of this course. Topics include the hunter/gather adaptation and the late Pliocene origin of Homo sapiens, habitation of the world and the origin of geographic variations; the ""Eve"" theory of modern human origins; the fate of the European Neandertals. Three hours of lecture and two hours of scheduled laboratory required weekly. There are first and second exams in the lecture, laboratory exams, and a poster presentation of student research.  Anthropology 351 or 365 or permission of the instructor are course prerequisites.'",4,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRBIO475001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRBIO',b'560',b' Human Reproductive Ecology ',"b'This is a seminar on human reproductive ecology.  We will read technical, scientific articles that assume a strong background in biology as well as evolutionary theory.  Sample questions include:   \r\n\n Why did menstruation and menopause evolve?  \r\n  Does menstrual synchrony exist?   \r\n Does female sexuality change at the time of ovulation?   \r\n What adaptations influence female fertility?   \r\n What progress has been made in understanding male reproductive strategies?  \r\n\nWe will also explore diverse cultural practices that constrain female sexuality.  Grading will be based on class participation and two papers.'",3,b'ANTHRBIO 467 and a strong background in biology as well as evolutionary theory; Undergraduates with permission of instructor.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRBIO560001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRBIO',b'570',b' Biological Anthropology: An Overview ',"b'This course is an introduction to biological anthropology. Topics include evolutionary theory and comparative, anatomical, behavioral, and genetic approaches to studying human origins.  These evolutionary perspectives are essential to a comprehensive understanding of modern humans.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",3,b'Graduate standing in Anthropology.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRBIO570001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRBIO',b'665',b' Topics in Human Evolution ',"b'With a very well known anatomy, purposeful burial in a difficult-to-reach cave setting by hominids with a surprisingly small australopithecine-like brain size, modern human tooth sizes, and no date (not even a hint), what is it, what isn\xe2\x80\x99t it, and what could it be?Course Requirements:No data submittedIntended Audience:It will best if we have a shared background, and so I suggest concurrent enrollment in ANTHRBIO 474 or prior enrollment in any class that deals with human or primate evolution (including but not limited to ANTHRBIO 365 (this is more than sufficient), OR 366 OR 465 OR 466 OR 475 OR 479 OR check with wolpoff@umich.edu.Class Format:Seminar'",2,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRBIO665001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRBIO',b'668',b' Topics in Primatology ',"b'This is a graduate seminar that will examine problems in the study of primate behavior.  Topics to be covered will include, but are not limited to, development, cooperation, and social relationships within and between the sexes.  Emphasis will be placed on how prior theory and empirical research relate to results derived from current studies on the behavior of primates.'",3,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRBIO668001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRBIO',b'956',b' Responsible Conduct of Anthropological Research ',"b'This course covers the responsible conduct of research in anthropology.  Topics include: appropriate citation of sources and avoiding plagiarism; authorship, publication and grantsmanship practices; dada acquisition, management, and sharing; research misconduct, including data fabrication and falsification; conflicts of interest; supervising, mentoring and collaborative responsibilities; human participant and animal subject welfare.'",.5,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRBIO956001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRBIO',b'961',b' Research Practicum in Anthropology ',b'This course provides students with the opportunity to design and to conduct fieldwork or laboratory analysis of original anthropological data.  A faculty member may undertake it as a special aspect of a research project under investigation or the student under the supervision of a faculty member may initiate it.',2,b'18 hours or Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRBIO961001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
