department,code,title,description,credit,advised_requisite,link
b'ANTHRCUL',b'417',b' Possessing Culture: Mediumship and Ethnography in Southeast Asia ',"b'From factory floors in Malaysia, to Karoland, to Chiang Mai, from Central Java, to Bicol, to the Meratus Mountains, from Aceh, to Mount Banahaw, to Kuala Lumpur and beyond, Southeast Asia has provided an exceptionally good locus from which to get accustomed to the phenomena of spirit possession and mediumship. This seminar asks why this is so, whether mediumship and possession reveal a shared regional culture of negotiating power and difference, or, by contrast, if its prevalence in the literature and perceived importance is largely the product of a (mostly American) ethnographic imaginary. To this end we will begin by engaging several of the classic and contemporary debates about Southeast Asian cultures and history, alongside some of the non-region specific theories of possession and mediumship whose logics seem particularly relevant to this context. We will then examine the mediating role that ethnographies of Southeast Asia have played in presenting spirit possession and mediumship as especially productive sites for both illustrating and generating cultural analysis and critical theory.Course Requirements:Response papers: 50% Final paper: 40% Attendance and participation: 10%Intended Audience:This is an advanced seminar in Anthropology and Asian Studies, and will most benefit majors and minors nearing graduation, graduate students, and those with significant background in either Cultural Anthropology or Southeast Asian / Asian Studies.Class Format:Two 90-minute meetings weekly'",3,"b'Some coursework in cultural anthropology or Southeast Asian studies is useful, but not required.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRCUL417001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRCUL',b'437',"b' The Anthropology of Death, Dying and the Afterlife '","b'This course will explore how different cultures imagine death and the afterlife, drawing on insights from the anthropology of religion, health, and political anthropology. Based on readings that range from classical ethnographies of death and dying in India, Tibet, Mongolia, China, Southeast Asia, Africa, South America, and Japan to contemporary debates surrounding death in North America and Europe, we will discuss cultural theories on what constitutes the moment of death and what happens after. The topics covered include conceptualizations of the body and mind, ideas of the spirit world, shamanism, witchcraft, mortuary rituals, royal and communist corpses, relic veneration, organ donation, end-of-life care, concepts of biopolitics and bare life, cryonics, and political lives of dead bodies.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",3,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRCUL437001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRCUL',b'439',b' Economic Anthropology and Development ',"b'Contemporary Third World countries of Africa, Asia, Middle East, Latin America and the Caribbean are undergoing rapid and exciting social and economic transformation. This course introduces students to the practical and theoretical problems raised by the modernization of rural, village-based tribal and peasant economies and the urbanization and industrialization of local and national communities of the non-western world.\r\n\r\nTopics covered include:\r\n\n the making of the Third World economies with the overseas expansion of Europe, creation of the world market and the international economic order;  the nature of economic anthropology \xe2\x80\x94  its scope, basic concepts, methods and objectives \xe2\x80\x94  and how it relates to indigenous economies, conventional and development economics; \r\n anthropological (social science) perspectives on \xe2\x80\x98development\xe2\x80\x99, \xe2\x80\x98underdevelopment\xe2\x80\x99, \xe2\x80\x98sustainable development\xe2\x80\x99, \xe2\x80\x98globalization\xe2\x80\x99 and \xe2\x80\x98climate change\xe2\x80\x99; and \r\n CASE STUDIES of problems or current issues of Third World development and underdevelopment: e.g., the UN Millenium Development Goals; gender equality; HIV/AIDS, international migration, micro-finance, NGO\xe2\x80\x99s and poverty alleviation; human rights and democracy.\r\n\nFilms/videos shown when available.  \r\nBasic texts:  Lucy Mair, ""Anthropology and Development""; ""UNDP Human Development Report 2003"", (Online) Maxwell Owusu, ""Third World"" in James D. Wright ed, ""International Encyclopedia of Social and Behavioral Sciences"". sevier, Vol 24, 2nd Edition, 2015. (Online) Jeffrey D. Sachs, ""The Age of Sustainable Development"", Columbia University Press, 2015, ""Introduction"" (Online)Course Requirements:Final grades based on three take-home papers and contributions to class discussion.Intended Audience:\r\nThe course is recommended for anthropology and non-anthropology majors \xe2\x80\x94  that is all students with serious interest in comparative cultures and social change.Class Format:Lecture/discussion format.'",3,b'Junior standing or permission of instructor.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRCUL439001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRCUL',b'440',b' Environmental Anthropology ',"b'This course uses the tools of political ecology to examine contemporary environmental problems in an era that geologists recently named the \xe2\x80\x9cAnthropocene.\xe2\x80\x9d We will consider what it means to live in a world in which human influence on the environment is pervasive. We will study how the world is being transformed by the accelerated circulation of persons, things, and ideas through globalization. We will also learn about the institutions and forces that mediate anthropogenic impacts on the environment, including the relationships between corporations and their critics; states and their legal systems; the links between production, consumption, and waste; and the role of nongovernmental organizations focused on environmental issues. Readings include several monographs and articles posted online. Course Requirements:Students will write several short discussion papers.Intended Audience:No data submittedClass Format:No data submitted'",3,b'Junior standing or above.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRCUL440001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRCUL',b'446',b' Sex and the City:  Urban Geography and Sexual Locations ',"b'This course examines contemporary sexual diversity in the context of urban geography, urban studies, and the political economies of sexuality and space. It addresses the spatial locations of sexual populations and situates the formation and disappearance of sexual neighborhoods and territories in terms of the larger dynamics of urban life. Topics include relationships between urban size and sexual specialization, the impact of redevelopment and gentrification on the texture of urban neighborhoods, and specific studies of red light districts, prostitution, and homosexuality.'",3,"b""At least one course in Anthropology, History, Women's Studies, Sociology, LGBTQ Studies, or Urban Studies/Urban Planning.""","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRCUL446001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRCUL',b'458',b' Topics in Sociocultural and Linguistic Anthropology ',"b'Anthropologists have a long and rich tradition of addressing social problems in their work, applying anthropological concepts to improve the lives of others, and using anthropology to critique systems of power and knowledge. In recent decades, anthropologists have called for the discipline to become more engaged: to write for public audiences, to carry out more collaborative research projects, and to become more involved in the political challenges of our time. This course considers both the historical roots of these endeavors and recent claims made about these projects. In particular, the course focuses on new forms of engagement, which can be understood as a series of experiments in how to make anthropology and ethnographic knowledge politically relevant. What are the consequences for anthropology when it is conceptualized as a form of political engagement? How might these new projects reshape the field? Are they beneficial or detrimental? Readings include historical works, polemical essays, and a variety of contemporary experiments in different forms of public, collaborative, activist, and engaged anthropology. In addition to informed participation in classroom discussions and writing a literature review reflecting on these issues, students will also carry out small group projects using one of the research methods in question; this exercise is intended to provide insight into the subject matter of the course.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",3,b'Junior and above.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRCUL458001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRCUL',b'458',b' Topics in Sociocultural and Linguistic Anthropology ',"b'This course is about how ordinary Muslims negotiate the varieties of religious experience in their everyday lives. We will examine ethnographies set of three countries \xe2\x80\x94  Egypt, Indonesia and France \xe2\x80\x94 that illuminate in contrasting ways the intersections of Muslim religiosity with a plethora of hot-button transnational issues, including bio-ethics and medical technologies, globalization and economic development, and state secularism and religious minorities. Before delving into our specific ethnographic contexts, we begin the course by asking how we can think about \xe2\x80\x9cIslam\xe2\x80\x9d as a historically situated religion, a moral and legal tradition, and an object of academic study. We will end the course by looking at the rise of ISIS and both popular and academic debates around how to understand its use of violence.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",3,b'Junior and above.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRCUL458002&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRCUL',b'502',b' Humanistic Studies of Historical and Contemporary China ',"b'This course will examine how the humanities \xe2\x80\x93 including the fields of literature, history, anthropology, and art history \xe2\x80\x93 have approached the study of China and, conversely, how Chinese studies has contributed to and participated in broader humanistic debates. We will examine such topics as orientalism, gender, performativity, modernity, and, above all, ""Chineseness."" Our goals are to develop good reading skills, stimulate critical thinking, and inspire imaginative approaches to humanistic problems.'",3,b'Permission of instructor.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRCUL502001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRCUL',b'527',b' Traditions of Ethnology II ',"b'A continuation of Traditions in Ethnology I, roughly covering the \r\nperiod from 1950 to the present.  The course focuses on major ideas and debates in anthropological theory, stressing questions and concepts, and the epistemological and ethical problems they have involved.'",4,b'Graduate standing or permission of instructor.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRCUL527001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ANTHRCUL',b'548',b' Theory and Practice in Medical Anthropology ',"b'This seminar examines the theoretical foundations of medical anthropology as well as particular studies which represent subfield interests in cultural concepts of health and illness; local and global aspects of reproductive health; the social construction of knowledge and politics of science; ethnomedicine and healing; health and structures of violence, and perceptions of environment and health.'",3,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ANTHRCUL548001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
