department,code,title,description,credit,advised_requisite,link
b'AOSS',b'414',b' Weather Systems ',"b'Introduction to the basic characteristics, thermodynamics, and dynamics of atmospheric weather systems on Earth and other planets.  The students are exposed to observations of weather systems while reviewing non-dimensional analysis, dynamics and thermodynamics.  Weather systems on earth are compared to that of other planets and analytical tools are used to gain insights into their basic physics.'",3,"b'AOSS 350, AOSS 401, AOSS 551.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AOSS414001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AOSS',b'422',b' Boundary Layer Meteorology ',"b'This course explores processes in the atmospheric boundary layer, which plays an important role in the exchange of energy, mass and momentum between land and atmosphere.  Topics include applications of governing atmospheric equations, atmospheric turbulence, turbulent kinetic energy, the surface energy balance, and the collection and analysis of field flux tower data.'",4,b'AOSS 350 or equivalent.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AOSS422001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AOSS',b'431',b' Radiowave Propagation and Link Design ',"b'\r\n Fundamentals of electromagnetic wave propagation in the \r\nionosphere, the troposphere, and near the Earth. Student \r\nteams will develop practical radio link designs and demonstrate critical technologies. \r\nSimple antennas, noise, diffraction, refraction, absorption, \r\nmulti-path interference, and scattering are studied.  \r\n\r\nCOURSE OBJECTIVES: \r\n\n\r\nTo give students hands-on experience in radiowave \r\npropagation, antennae, system noise and hardware \r\nin applications such as: wireless teleco\r\nmmunication, radar, and radio navigation;\r\n\r\nTo give students practical experience in wireless\r\n radiowave link design using each of the following: \r\n\n a conceptual system design project; and \r\n \r\nhands-on proof-of-concept demonstration projects.\r\n\n\nTOPICS COVERED: \r\n\n\r\nRadiation, dipoles, Poynting thm. \r\n\r\n\r\n\r\nAntennae, Friis transmission eqn. \r\n\r\n\r\n\r\nReceiver and antenna noise \r\n\r\n\r\n\r\nSignal-to-noise, free space link \r\n\r\n\r\n\r\nGPS, radar link, receiving system \r\n\r\n\r\n\r\nDetained antenna characteristics \r\n\r\n\r\n\r\nPropagation in dispersive media \r\n\r\n\r\n\r\nPropagation in troposphere and in \r\nionosphere; satellite links \r\n\r\n\r\n\r\nPropagation over land, water, city \r\n'",4,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AOSS431001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AOSS',b'462',b' Instruments Atm Spa ',"b'Introduction to fundamentals of atmospheric, space-based and meteorological instrumentation. Includes basics of electronic sensors, optics, lasers, radar, data acquisition/management, error analysis, and data presentation. Consists of two lectures and one lab each week, and a team-based term project.'",4,b'AOSS 350.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AOSS462001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AOSS',b'474',"b' Ice Sheets, Glaciers and Climate Change '","b'The dynamics and mass balance of ice sheets and glaciers introduced along with mathematical theories describing how ice sheets and glaciers flow and current methods of observation.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:The course integrates lectures, assignments and discussion of journal articles.'",3,b'MATH 115 and 116.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AOSS474001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AOSS',b'475',b' Earth System Interactions ',"b'Students will work on open-ended research problems with mathematical models from Earth System Science.  The models may include, for example, surface characteristics, hydrology, solar-land-ocean-atmosphere exchanges, and space-based observations.  Numerical experiments will promote further understanding and interpretation of earth system interactions, team building, and scientific communication.'",4,b'Senior standing in science or engineering.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AOSS475001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AOSS',b'477',b' Space Weather Modeling ',"b'\n\n\nThrough a series of projects, students will develop an understanding of numerical\r\nmodeling for space physics applications, learning the mathematical and numerical\r\napproaches, limitations and assumptions in the codes, and their purpose and applicability.Course Requirements:projectsIntended Audience:No Prerequisites.Class Format:No data submitted'",4,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AOSS477001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AOSS',b'480',b' Climate Change:  The Move to Action ',"b'Overview\nThis course explores the intersections of the science of climate change with society:\r\npolicy, business, economics, public health, energy, ecosystems, environmental\r\nengineering, information science, journalism, religion, etc. The problem is approached\r\nfrom the perspective that there are communities with heterogeneous interests that are\r\nvested in both adapting to and mitigating climate change. The course will expose\r\nstudents to the fundamental factual and contextual elements surrounding climate change\r\nin order to facilitate effective participation in the response to realized and predicted\r\nclimate change. The students will work in multi-disciplinary teams on projects to analyze\r\ncurrent real-world problems and to develop strategies to address those problems.\r\n\r\nObjectives\n\n To understand the basic observations and scientific tenets of climate change.\r\n To expose the role of uncertainty in science and how that uncertainty is used by nonscientific\r\ncommunities.\r\n To introduce the issues of fundamental importance at the intersection of climate\r\nchange predictions and different communities: e.g. policy, business, economics, public\r\nhealth, energy, ecosystems, environmental engineering, information science, journalism,\r\nreligion, etc.\n To develop a technique to analyze and address complex problems with stakeholders\r\nfrom multiple communities.\r\n\nClass Materials\r\nThere is no specific textbook, as the course uniquely integrates material from several\r\nfields. There is a reading list, and all of the material in the reading list is available on\r\nline. The reading list includes basic introductory material on climate science, and often\r\nrelies on reports from the National Academy of Sciences and the Intergovernmental Panel\r\non Climate Change. Material that covers the non-scientific communities that are\r\naddressed in the course rely on survey articles in academic journals, reports by nongovernmental\r\norganizations, and web resources. The lecture material and projects are\r\nsteered by breaking news of both academic and non-academic sources.\r\nThere is a c-tools site, and the students have the opportunity to contribute to blogs and a\r\nwiki book maintained by the professor.\r\n\r\nCourse Schedule\n\n Week 1  Introduction: Course Outline, Basis of Climate Change Science\r\nand Impacts\r\nRole of IPCC and Summary of Predictions\r\n Week 2 \r\n IPCC Predictions of Temperature and Precipitation, Correlated\r\nBehavior in the Physical Climate System, Relation of Climate\r\nChange to Energy\r\nConservation Principle, Conservation of Energy, Ice-Age Cycles,\r\nRole of Water in the Physical Climate System\r\n Week 3 \r\n Climate Variability of the Past 1000 Years, Radiative Balance of\r\nthe Earth, Role of Terrestrial and Marine Ecosystems in the\r\nCarbon Budget\r\nEarth System: Roles of Atmosphere, Ocean, Land, and Cryopshere\r\nin Maintaining Earth\xe2\x80\x99s Climate; The Vertical Structure of the\r\nGreenhouse Effect.; Weather and Climate\r\n Week 4 \r\n Aerosols, Feedback Mechanisms, Models and the Role of Models\r\n Model Experiments: Diagnostics of Past Observations, Predictions\r\nof the Next Century (IPCC), Climate Forcing\r\n Week 5\r\n Definition of Project Form, First Round of Project Definition,\r\nSynthesis of Previous Lectures\r\n Observing Systems, Observations of the Physical Climate,\r\nObservations of Ecosystems, Coherent and Convergent Evidence\r\nof Climate Change\r\n Week 6 \r\n Vulnerability, Ethics, Adaptation: Winners and Losers in Climate\r\nChange\r\nProject Proposals: Individuals or Teams\r\n Week 7\r\nClimate Change as a Management Problem, Background of\r\nInternational Policy, Framework Convention, Kyoto\r\n Kyoto Protocol, Is the Sulfur Market a Good Policy Model for\r\nClimate Change\r\n Week 8  The Carbon Market\r\n Analysis of Market-based Approaches to Environmental\r\nRegulation: Can these be effectively applied to carbon dioxide\r\nmanagement?\r\n Week 9 \r\nSelection of Project Proposals: Project Team Definition\r\n Week Local, State, and Regional Policy\r\n Week 10 \r\nThe Role of the Judicial System and Litigation in Climate Change,\r\nMassachusetts vs EPA\r\n Project Status, Refinement of Scope, Identification of externalities\r\n Week 11  Public Health: Overview of Impacts of Climate Change on Public\r\nHealth\r\n Public Health: Societal Response and Adaptation of Public Health\r\nServices, Heat Waves\r\n Week 12\r\nBusiness and Climate Change: Preparing for the Future\r\n Global Geo-engineering: Strategies for Managing the Global\r\nClimate\r\n Week 13 \r\n Project Status and Discussion\r\n Synthesis and Discussion\r\n Week 14\r\n   Synthesis and Discussion\r\n    Project Presentations\r\nCourse Requirements:The project is based on an algorithm for addressing complex problems with\r\nintermediate, evolving solutions. This includes inventory and differentiation of\r\nknowledge, analysis in an changing knowledge and interest environment, identification of\r\nexternalities, and the development of strategies to address the problem posed in the\r\nproject. The projects are defined based on the interest and expertise of the class.  The grading is based on the projects, which will have both oral and written components.\r\nThe projects are regularly reviewed over the course of the classes and students will\r\nprovide progress reports and interactive analysis.Intended Audience:No data submittedClass Format:This three-hour course meets for 1.5 hours on Tuesdays and Thursdays. Lectures focus\r\non key concepts and the critical analysis of information \xe2\x80\x93 what is important, what is not\r\nimportant? Also how does knowledge developed by scientific investigation stand in\r\ncomparison with other sources of knowledge and interests of different parts of society?\r\nHow does this impact the response of these communities to scientifically generated\r\nknowledge?'",3,"b'Senior or graduate standing, MATH 116.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AOSS480001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AOSS',b'495',b' Upper Atmosphere and Ionosphere ',"b'\n\n\nThis course will cover the basic physical and chemical processes in the upper atmosphere\r\nand the ionosphere, their dynamics under various solar and interplanetary conditions, and\r\ntheir impact on global navigation and communication systems.Course Requirements:No data submittedIntended Audience:Senior or graduate standingClass Format:No data submitted'",4,b'AOSS 464.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AOSS495001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'AOSS',b'501',"b' Seminars in Climate, Atmospheres and Space Sciences '","b'Current Research efforts will be presented by graduate students and faculty dealing with all phases of the Climate, Atmospheric and Space Sciences.'",1,b'Graduate standing.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070AOSS501001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
