department,code,title,description,credit,advised_requisite,link
b'ARABIC',b'402',b' Advanced Arabic II ',"b'ARABIC 402 (AAPTIS 404) is the second of a two semester sequence of Advanced level Arabic. Students will learn to understand, speak, read and write Arabic at the Advanced Mid level in addition to gaining an understanding of cultural aspects of language use.Course Requirements:No data submittedIntended Audience:ARABIC 402 (AAPTIS 404) is not open to native speakers of Arabic. It is open to all students of Arabic who have completed ARABIC 401 (AAPTIS 403) with a grade of at least C-. All other students, including U-M students returning from study abroad, must take the Arabic proficiency exam in order to determine their placement.Class Format:No data submitted'",5,b'ARABIC 401 (AAPTIS 403) or by assignment to ARABIC 402 (AAPTIS 404) by placement test.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ARABIC402002&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'504',b' Advanced Arabic Media I ',"b'This course is offered for students, members of the business community and news media and government personnel who have completed ARABIC 402 (AAPTIS 404), Advanced Arabic or three years of Arabic study. It provides opportunities for the study and analysis of current events and issues in the Arab media, including economics, politics, elections, trade and industry, environment etc, using materials collected from newspapers, journals, radio and TV stations.  The primary goals are to promote the ability to acquire reliable, accurate information and develop the skills for intelligent discussion of the topics studied, both in speaking and writing. Daily class activities involve extensive oral and written practice \xe2\x80\x93 group interactions, debates and role-playing. Grades are based on class attendance and participation, monthly tests and a final examination. The class is conducted entirely in Arabic.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",4,b'ARABIC 402 (AAPTIS 404) or equivalent.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ARABIC504001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'506',b' Arabic Phonology and Morphophonology ',"b""This course offers an investigative overview of the basic phonological and morphological features of Arabic (including Classical, Modern Standard, and dialectal Arabic). Phonological analysis covers a study of Arabic phonemes and their representation, syllable structure, syllabification, word stress, and other features such as assimilation, Ishmaam, Idghaam and Imaalah. Morphological analysis includes the study of the root and pattern morphemes, verb and noun morphology, affixation, compounding, I'raab and binaa'. Readings in this course are primarily in English with some relevant literature read in Arabic.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted""",3,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ARABIC506001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'508',b' Arabic Historical Linguistics and Dialectology ',"b'This introductory course surveys the development of the Arabic\r\nlanguage from its origins to the present, with emphasis on the\r\nexternally motivated (historical and cultural) changes that led to its\r\nevolution from a tribal dialect into an international language.\r\nConcomitantly, the course examines the history of Arabic colloquial\r\nvarieties (and their main categories), the formation of the Arabic\r\nscript, and emergence and growth of Classical and Modern Standard\r\nArabic together with their interrelationships with colloquial\r\nvarieties and affinities with indigenous languages. Historical\r\nlinguistic claims as well as the inherent sociolinguistic variability\r\n(diglossia) are also examined.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",3,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ARABIC508001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'600',b' Reading Modern Arab Authors in Arabic ',"b'This course is meant to introduce advanced students of modern Arabic literature to the sheer pleasure of reading, discussing, and writing about a literary text in its original language. The selected texts will include novels, short stories, and personal narratives, written in Arabic in the Levant and North Africa in the past 15 years or so. A special emphasis will be put on styles, strategies, and modes of narration, and on literary and cultural contextualization. Theories of narrative, and issues of gender and class, will be addressed.Course Requirements:The selected texts will be assigned for reading and analysis, at an individual as well as a group level. At the individual level, each student will be asked to focus on a specific text of her or his choice, present it in class and lead the discussion about it. A substantial term paper, written in Arabic, is due toward the end of the term. Intended Audience:advanced students of modern Arabic literature'",3,"b'ARABIC 402, ARABIC 501, or permission of instructor.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ARABIC600001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'601',b' Modern Arabic Fiction ',"b'Selected examples of contemporary imaginative prose writing, such as short and long fiction and drama, will be studied.  Readings will be in Arabic, and class discussions will be in English.\nThis course was previously taught as AAPTIS 561. Only the subject and course number have changed. The major themes and content of the course remain the same.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",3,b'ARABIC 402 or reading knowledge of Arabic.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ARABIC601001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'606',b' Arabic Phonology and Morphology ',"b""This course offers an investigative overview of the basic phonological and morphological features of Arabic (including Classical, Modern Standard, and dialectal Arabic). Phonological analysis covers a study of Arabic phonemes and their representation, syllable structure, syllabification, word stress, and other features such as assimilation, Ishmaam, Idghaam and Imaalah. Morphological analysis includes the study of the root and pattern morphemes, verb and noun morphology, affixation, compounding, I'raab and binaa'. Readings in this course are primarily in English with some relevant literature read in Arabic.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted""",3,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ARABIC606001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'608',b' Arabic Historical Linguistics and Dialectology ',"b'This introductory course surveys the development of the Arabic\r\nlanguage from its origins to the present, with emphasis on the\r\nexternally motivated (historical and cultural) changes that led to its\r\nevolution from a tribal dialect into an international language.\r\nConcomitantly, the course examines the history of Arabic colloquial\r\nvarieties (and their main categories), the formation of the Arabic\r\nscript, and emergence and growth of Classical and Modern Standard\r\nArabic together with their interrelationships with colloquial\r\nvarieties and affinities with indigenous languages. Historical\r\nlinguistic claims as well as the inherent sociolinguistic variability\r\n(diglossia) are also examined.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",3,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2070ARABIC608001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'401',b' Advanced Arabic I ',"b'\nThe AAPTIS  sequence  403-404  is designed  for students  who want to pursue their Arabic for academic and professional purposes. It continues development of students\xe2\x80\x99 four language skills through a variety of reading texts representing modern Arabic media, prose fiction, and non-fictionCourse Requirements:GRADE:   Letter graded;  for  those  not  taking  the  course  for   credit,   a  certificate   of completion will be presented upon successful completion of the courseIntended Audience:Undergraduates  concentrating  in Arabic and those who want to study Arabic for academic and research purposes, including graduates.\r\n\r\nTO ENROLL:   U-M  students  taking    the    course    for    credit    can    register    directly    via Wolverine   access   without   submitting   an  application;   students   not  taking  the course   for   credit,   non-U-M   students,   and   guest   students   must complete  an application.   For  more  information,   visit  the  LSA  Summer Language  Institute website:  www.lsa.umich.edu/summer/summerprograms/summerlanguageinstitute'",5,"b'ARABIC 202 (AAPTIS 202), ARABIC 203 (AAPTIS 205) or assignment to ARABIC 401 by placement test.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2100ARABIC401201&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'402',b' Advanced Arabic II ',"b'ARABIC 402 is the second of a two semester sequence of Advanced level Arabic. Students will learn to understand, speak, read and write Arabic at the Advanced Mid level in addition to gaining an understanding of cultural aspects of language use.Course Requirements:No data submittedIntended Audience:ARABIC 402 is not open to native speakers of Arabic. It is open to all students of Arabic who have completed ARABIC 401 (AAPTIS 403) with a grade of at least C-. All other students, including U-M students returning from study abroad, must take the Arabic proficiency exam in order to determine their placement.Class Format:No data submitted'",5,b'ARABIC 401 (AAPTIS 403) or by assignment to ARABIC 402 (AAPTIS 404) by placement test.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2100ARABIC402201&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'401',b' Advanced Arabic I ',"b'ARABIC 401 is the first of a two semester sequence of Advanced level Arabic. Students will learn to understand, speak, read and write Arabic at the Advanced Low to Advanced Mid level,  in addition to gaining an understanding of cultural aspects of language use.Course Requirements:\r\nNo data submittedIntended Audience:\r\n\r\nNo data submittedClass Format:\r\nNo data submitted'",5,"b'ARABIC 202 (AAPTIS 202), ARABIC 203 (AAPTIS 205) or assignment to ARABIC 401 by placement test.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110ARABIC401001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'401',b' Advanced Arabic I ',"b'ARABIC 401 is the first of a two semester sequence of Advanced level Arabic. Students will learn to understand, speak, read and write Arabic at the Advanced Low to Advanced Mid level,  in addition to gaining an understanding of cultural aspects of language use.Course Requirements:\r\nNo data submittedIntended Audience:\r\n\r\nNo data submittedClass Format:\r\nNo data submitted'",5,"b'ARABIC 202 (AAPTIS 202), ARABIC 203 (AAPTIS 205) or assignment to ARABIC 401 by placement test.'","b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110ARABIC401002&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'499',b' Independent Study in Arabic ',b'An independent study course in the area of Arabic. The intended language of instruction is Arabic. Approval from the department is required.Course Requirements:Requirements will vary depending on the independent study. A proposal outlining the topic of study as well as the requirements will be required before permission to enroll is issued.Intended Audience:Undergraduate and graduate students studying Arabic language.Class Format:\tOne-on-one meetings with an instructor',1,b'',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110ARABIC499001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'501',b' Advanced Arabic Conversation and Composition ',"b""The objectives of this course are to develop fluency and accuracy in understanding, speaking, and writing modern standard Arabic, and to expand students' awareness of Arab-Islamic culture and civilization. \r\n\r\nThe course is based on a variety of literary texts and authentic cultural audio-visual materials including slides, video cassettes, and films. The course materials reflect not only the literary but also the cultural, social, and political trends of contemporary Arab society. Occasionally, students are required to read outside topics and give brief presentations. \r\n\r\nTextbook is Advanced Standard Arabic, parts one and two, by Raji Rammuny.Course Requirements:Evaluation is based on daily preparations, weekly written compositions, monthly tests, and a final paper in Arabic.Intended Audience:No data submittedClass Format:No data submitted""",3,b'ARABIC 402 (AAPTIS 404) or equivalent. Taught in Arabic.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110ARABIC501001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
b'ARABIC',b'503',b' Classical Arabic Grammar ',"b'\n\n\n\nExposes students to detailed explanations of the structure of Arabic (Modern Standard and Classical) at both the descriptive and pedagogical levels. The different phonological, morphological, and syntactic rules are presented and discussed holistically, combining both form and function, to achieve adequate knowledge of Arabic grammar. While the assigned textbook includes both English and Arabic grammatical terms, the course relies mainly on Arabic terms as they were used by traditional Arab grammarians. Illustrative examples and readings are taken from Modern Standard and Classical texts.Course Requirements:No data submittedIntended Audience:No data submittedClass Format:No data submitted'",3,b'Three years of Arabic study.',"b'http://www.lsa.umich.edu/cg/cg_detail.aspx?content=2110ARABIC503001&termArray=f_17_2160,su_17_2150,ss_17_2140,sp_17_2130,w_17_2120,f_16_2110,su_16_2100,ss_16_2090,sp_16_2080,w_16_2070'"
