"","word","n"
"1","00 pmwe",1
"2","05 18",1
"3","06 30",1
"4","1 3",3
"5","1 block",1
"6","1 business",2
"7","1 exterior",1
"8","1 month",1
"9","1 page",2
"10","1 rid",1
"11","1 volume",1
"12","1 yearaudio",1
"13","1 yearcalendar",1
"14","1 yearconsulting",1
"15","1 yeargoogle",2
"16","1 yearhealthcare",1
"17","1 yearjob",3
"18","1 yearportfolio",1
"19","1 yearrequired",6
"20","1 yearrestoration",1
"21","1 yearsales",2
"22","1 yearscheduling",1
"23","1 yearsupervisor",1
"24","1 yeartime",1
"25","1 yr",1
"26","1,000.00employee sales",1
"27","10 15",1
"28","10 20",1
"29","10 paid",1
"30","10 revenue",1
"31","100 businesses",1
"32","100 companies",1
"33","100 company",1
"34","100 countries",1
"35","100 terrestrial",1
"36","100,000.00 yearrequired",1
"37","100,000.00employee referral",1
"38","101 million",1
"39","103 million",2
"40","105091 6",1
"41","10654please submit",1
"42","10801required education:bachelor'srequired",1
"43","109593 12",2
"44","10microsoft office",1
"45","1100 la",1
"46","1100.00 2500.00we",1
"47","110k depending",1
"48","116 billion",1
"49","12 13",1
"50","12 15",3
"51","12 17",2
"52","12 264,000",1
"53","12 31",2
"54","120 billion",1
"55","120 daysinsurance",1
"56","120,000.00 yearjob",2
"57","120,000.00 yearrequired",1
"58","120k earning",1
"59","121.5 billion",2
"60","125k 150k",1
"61","13 exp",1
"62","130,000.000 median",1
"63","144,000.00 yearrequired",1
"64","15 30",1
"65","15 exp",3
"66","15 hours",1
"67","15 job",1
"68","15 years.if",1
"69","150,000.000 median",1
"70","16 2016",1
"71","160 offices",1
"72","16000kc6 lang",1
"73","17 axa",1
"74","17 job",2
"75","18 job",1
"76","1859 axa",3
"77","1972 employee",1
"78","1989 caremeridian",1
"79","1991 benchmark",1
"80","1x salaryemployee",1
"81","2 3",1
"82","2 3rd",1
"83","2 4",1
"84","2 5",1
"85","2 axa",3
"86","2 employeeno",1
"87","2 jobdetail.ftl",1
"88","2 jobs",1
"89","2 position",1
"90","2 weeks",1
"91","2 yearsability",1
"92","2 yearsclinical",2
"93","2 yearscustomer",1
"94","2 yearsepic",1
"95","2 yearshunting",1
"96","2 yearsin",2
"97","2 yearsindustrial",1
"98","2 yearsjob",2
"99","2 yearsoutside",1
"100","2 yearsrequired",5
"101","2 yearssales",2
"102","2 yearssalesforce.com",1
"103","2 yearsselling",1
"104","2 yrca",1
"105","2 yrs",2
